rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/explained_variance,train/std,train/loss,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
-52671.54232549999,13,150,336.0,1,2048,,,,,,,,,,,
-49263.35849508334,14,288,336.0,2,4096,-8.678436279296875e-05,0.9951888918876648,3757039.75,0.2,7933170.5171875,0.01039274,0.09296875,10,-4.248514148592949,0.0003,-0.015786596678663046
