time,G(i),H_sun,T2m,WS10m,Int
20150105:2111,0.0,0.0,5.21,7.17,0.0
20150105:2211,0.0,0.0,5.03,7.59,0.0
20150105:2311,0.0,0.0,4.92,7.66,0.0
20150106:0011,0.0,0.0,4.83,7.45,0.0
20150106:0111,0.0,0.0,4.79,7.24,0.0
20150106:0211,0.0,0.0,4.76,6.97,0.0
20150106:0311,0.0,0.0,4.7,6.97,0.0
20150106:0411,0.0,0.0,4.62,7.03,0.0
20150106:0511,0.0,0.0,4.53,7.24,0.0
20150106:0611,0.0,0.0,4.46,7.38,0.0
20150106:0711,0.0,0.0,4.42,7.66,0.0
20150106:0811,0.0,0.0,4.36,8.07,0.0
20150106:0911,25.28,7.39,4.31,8.34,0.0
20150106:1011,45.15,11.26,4.39,8.14,0.0
20150106:1111,40.64,13.15,4.37,8.0,0.0
20150106:1211,39.73,12.89,4.38,8.34,0.0
20150106:1311,29.8,10.51,4.41,8.97,0.0
20150106:1411,23.48,6.2,4.42,9.31,0.0
20150106:1511,0.0,0.0,4.42,8.97,0.0
20150106:1611,0.0,0.0,4.34,8.62,0.0
20150106:1711,0.0,0.0,4.18,9.03,0.0
20150106:1811,0.0,0.0,4.09,9.31,0.0
20150106:1911,0.0,0.0,4.1,9.17,0.0
20150106:2011,0.0,0.0,4.05,8.9,0.0
20150106:2111,0.0,0.0,3.98,8.83,0.0
20150106:2211,0.0,0.0,4.42,8.69,0.0
20150106:2311,0.0,0.0,5.23,9.24,0.0
20150107:0011,0.0,0.0,6.36,7.38,0.0
20150107:0111,0.0,0.0,6.88,8.48,0.0
20150107:0211,0.0,0.0,6.73,9.52,0.0
20150107:0311,0.0,0.0,6.57,8.97,0.0
20150107:0411,0.0,0.0,6.54,8.28,0.0
20150107:0511,0.0,0.0,6.53,7.86,0.0
20150107:0611,0.0,0.0,6.48,7.93,0.0
20150107:0711,0.0,0.0,6.46,8.21,0.0
20150107:0811,0.0,0.0,6.38,8.21,0.0
20150107:0911,255.54,7.47,6.27,8.21,0.0
20150107:1011,307.02,11.36,6.42,8.34,0.0
20150107:1111,571.49,13.27,6.45,8.76,0.0
20150107:1211,250.32,13.02,6.26,9.66,0.0
20150107:1311,384.2,10.65,6.11,10.0,0.0
20150107:1411,12.64,6.35,6.17,9.66,0.0
20150107:1511,0.0,0.0,6.29,9.86,0.0
20150107:1611,0.0,0.0,6.27,10.14,0.0
20150107:1711,0.0,0.0,6.2,10.69,0.0
20150107:1811,0.0,0.0,6.14,11.24,0.0
20150107:1911,0.0,0.0,5.98,11.59,0.0
20150107:2011,0.0,0.0,5.71,12.21,0.0
20150107:2111,0.0,0.0,5.45,12.21,0.0
20150107:2211,0.0,0.0,5.27,12.83,0.0
20150107:2311,0.0,0.0,4.96,12.97,0.0
20150108:0011,0.0,0.0,4.73,13.38,0.0
20150108:0111,0.0,0.0,4.57,13.86,0.0
20150108:0211,0.0,0.0,4.8,13.86,0.0
20150108:0311,0.0,0.0,5.16,13.38,0.0
20150108:0411,0.0,0.0,5.57,13.24,0.0
20150108:0511,0.0,0.0,6.06,13.59,0.0
20150108:0611,0.0,0.0,6.72,13.24,0.0
20150108:0711,0.0,0.0,7.08,12.69,0.0
20150108:0811,0.0,0.0,7.25,11.86,0.0
20150108:0911,18.06,7.56,7.37,11.59,0.0
20150108:1011,149.38,11.47,7.41,10.34,0.0
20150108:1111,100.64,13.39,7.39,9.59,0.0
20150108:1211,77.99,13.16,7.45,8.21,0.0
20150108:1311,30.7,10.8,7.45,8.34,0.0
20150108:1411,20.77,6.51,7.4,7.86,0.0
20150108:1511,0.0,0.0,7.3,8.34,0.0
20150108:1611,0.0,0.0,7.16,9.03,0.0
20150108:1711,0.0,0.0,7.1,9.17,0.0
20150108:1811,0.0,0.0,7.09,10.0,0.0
20150108:1911,0.0,0.0,7.08,11.86,0.0
20150108:2011,0.0,0.0,7.02,12.55,0.0
20150108:2111,0.0,0.0,6.94,11.52,0.0
20150108:2211,0.0,0.0,6.94,12.21,0.0
20150108:2311,0.0,0.0,6.96,12.41,0.0
20150109:0011,0.0,0.0,6.84,11.59,0.0
20150109:0111,0.0,0.0,6.67,12.48,0.0
20150109:0211,0.0,0.0,6.52,14.07,0.0
20150109:0311,0.0,0.0,6.38,14.21,0.0
20150109:0411,0.0,0.0,6.27,14.0,0.0
20150109:0511,0.0,0.0,6.37,16.21,0.0
20150109:0611,0.0,0.0,6.84,17.03,0.0
20150109:0711,0.0,0.0,7.49,17.59,0.0
20150109:0811,0.0,0.0,7.91,19.1,0.0
20150109:0911,28.9,7.66,7.71,18.21,0.0
20150109:1011,581.38,11.58,7.33,19.72,0.0
20150109:1111,37.93,13.53,7.82,19.03,0.0
20150109:1211,106.08,13.31,7.73,17.79,0.0
20150109:1311,74.74,10.96,7.53,18.21,0.0
20150109:1411,47.35,6.67,7.61,16.9,0.0
20150109:1511,0.0,0.0,7.79,16.62,0.0
20150109:1611,0.0,0.0,7.74,16.62,0.0
20150109:1711,0.0,0.0,7.58,16.28,0.0
20150109:1811,0.0,0.0,7.42,15.52,0.0
20150109:1911,0.0,0.0,7.27,14.28,0.0
20150109:2011,0.0,0.0,7.05,12.9,0.0
20150109:2111,0.0,0.0,6.78,11.86,0.0
20150109:2211,0.0,0.0,6.69,8.69,0.0
20150109:2311,0.0,0.0,6.49,7.03,0.0
20150110:0011,0.0,0.0,6.38,6.97,0.0
20150110:0111,0.0,0.0,7.23,8.41,0.0
20150110:0211,0.0,0.0,9.39,13.1,0.0
20150110:0311,0.0,0.0,9.32,15.31,0.0
20150110:0411,0.0,0.0,9.25,15.59,0.0
20150110:0511,0.0,0.0,9.13,15.86,0.0
20150110:0611,0.0,0.0,8.96,16.07,0.0
20150110:0711,0.0,0.0,8.76,16.76,0.0
20150110:0811,0.0,0.0,8.71,17.1,0.0
20150110:0911,40.67,7.76,8.76,17.59,0.0
20150110:1011,96.45,11.71,8.8,19.45,0.0
20150110:1111,52.38,13.67,8.95,18.83,0.0
20150110:1211,77.8,13.46,8.72,17.1,0.0
20150110:1311,310.52,11.12,8.16,18.62,0.0
20150110:1411,209.02,6.84,7.81,19.03,0.0
20150110:1511,0.0,0.0,7.15,18.07,0.0
20150110:1611,0.0,0.0,6.65,19.1,0.0
20150110:1711,0.0,0.0,6.49,19.31,0.0
20150110:1811,0.0,0.0,6.31,19.66,0.0
20150110:1911,0.0,0.0,6.11,19.1,0.0
20150110:2011,0.0,0.0,6.21,19.17,0.0
20150110:2111,0.0,0.0,6.13,18.83,0.0
20150110:2211,0.0,0.0,6.02,17.93,0.0
20150110:2311,0.0,0.0,5.69,18.83,0.0
20150111:0011,0.0,0.0,5.68,17.86,0.0
20150111:0111,0.0,0.0,5.19,17.59,0.0
20150111:0211,0.0,0.0,5.17,17.93,0.0
20150111:0311,0.0,0.0,5.16,16.55,0.0
20150111:0411,0.0,0.0,4.96,16.97,0.0
20150111:0511,0.0,0.0,4.48,17.03,0.0
20150111:0611,0.0,0.0,3.98,16.07,0.0
20150111:0711,0.0,0.0,3.86,16.48,0.0
20150111:0811,0.0,0.0,4.04,16.48,0.0
20150111:0911,213.11,7.87,4.27,16.28,0.0
20150111:1011,46.05,11.84,4.95,16.21,0.0
20150111:1111,124.2,13.81,4.05,17.45,0.0
20150111:1211,21.67,13.62,4.12,19.1,0.0
20150111:1311,31.61,11.29,4.51,17.86,0.0
20150111:1411,7.22,7.01,5.19,18.34,0.0
20150111:1511,0.0,0.0,5.97,18.21,0.0
20150111:1611,0.0,0.0,6.42,17.17,0.0
20150111:1711,0.0,0.0,6.37,16.34,0.0
20150111:1811,0.0,0.0,6.49,16.28,0.0
20150111:1911,0.0,0.0,6.59,15.45,0.0
20150111:2011,0.0,0.0,6.52,14.14,0.0
20150111:2111,0.0,0.0,6.57,13.24,0.0
20150111:2211,0.0,0.0,6.61,14.14,0.0
20150111:2311,0.0,0.0,6.6,14.41,0.0
20150112:0011,0.0,0.0,6.71,14.07,0.0
20150112:0111,0.0,0.0,6.75,14.41,0.0
20150112:0211,0.0,0.0,6.79,13.93,0.0
20150112:0311,0.0,0.0,6.75,13.52,0.0
20150112:0411,0.0,0.0,6.69,14.0,0.0
20150112:0511,0.0,0.0,6.69,14.48,0.0
20150112:0611,0.0,0.0,6.66,14.62,0.0
20150112:0711,0.0,0.0,6.75,14.9,0.0
20150112:0811,20.91,2.34,6.88,15.38,0.0
20150112:0911,41.42,7.99,6.99,15.45,0.0
20150112:1011,43.34,11.97,7.26,16.9,0.0
20150112:1111,82.07,13.97,7.43,16.07,0.0
20150112:1211,61.41,13.79,7.57,16.28,0.0
20150112:1311,37.02,11.47,7.72,16.34,0.0
20150112:1411,25.28,7.2,7.83,16.69,0.0
20150112:1511,0.0,0.0,7.94,16.48,0.0
20150112:1611,0.0,0.0,8.06,16.21,0.0
20150112:1711,0.0,0.0,8.15,15.79,0.0
20150112:1811,0.0,0.0,8.05,15.52,0.0
20150112:1911,0.0,0.0,7.86,15.31,0.0
20150112:2011,0.0,0.0,7.67,14.14,0.0
20150112:2111,0.0,0.0,7.46,12.28,0.0
20150112:2211,0.0,0.0,7.38,10.0,0.0
