time,G(i),H_sun,T2m,WS10m,Int
20151222:0511,0.0,0.0,9.66,11.79,0.0
20151222:0611,0.0,0.0,9.42,11.79,0.0
20151222:0711,0.0,0.0,9.34,11.79,0.0
20151222:0811,0.0,0.0,9.6,11.79,0.0
20151222:0911,46.62,7.04,10.0,11.79,0.0
20151222:1011,32.51,10.67,10.37,11.79,0.0
20151222:1111,30.7,12.3,10.9,11.79,0.0
20151222:1211,52.38,11.79,11.17,11.79,0.0
20151222:1311,49.59,9.2,11.35,11.79,0.0
20151222:1411,67.17,4.73,11.39,11.79,0.0
20151222:1511,0.0,0.0,11.32,11.79,0.0
20151222:1611,0.0,0.0,11.25,11.79,0.0
20151222:1711,0.0,0.0,11.22,11.79,0.0
20151222:1811,0.0,0.0,11.23,11.79,0.0
20151222:1911,0.0,0.0,11.22,11.79,0.0
20151222:2011,0.0,0.0,11.27,11.79,0.0
20151222:2111,0.0,0.0,11.35,11.79,0.0
20151222:2211,0.0,0.0,11.37,11.79,0.0
20151222:2311,0.0,0.0,11.38,11.79,0.0
20151223:0011,0.0,0.0,11.38,11.79,0.0
20151223:0111,0.0,0.0,11.3,11.79,0.0
20151223:0211,0.0,0.0,11.12,11.79,0.0
20151223:0311,0.0,0.0,11.0,11.79,0.0
20151223:0411,0.0,0.0,10.53,11.79,0.0
20151223:0511,0.0,0.0,10.13,11.79,0.0
20151223:0611,0.0,0.0,10.15,11.79,0.0
20151223:0711,0.0,0.0,10.29,11.79,0.0
20151223:0811,0.0,0.0,10.24,11.79,0.0
20151223:0911,340.52,7.01,10.02,11.79,0.0
20151223:1011,159.67,10.65,9.85,11.79,0.0
20151223:1111,442.2,12.3,9.9,11.79,0.0
20151223:1211,494.87,11.81,9.69,11.79,0.0
20151223:1311,153.84,9.23,9.5,11.79,0.0
20151223:1411,174.88,4.78,9.49,11.79,0.0
20151223:1511,0.0,0.0,9.36,11.79,0.0
20151223:1611,0.0,0.0,9.3,11.79,0.0
20151223:1711,0.0,0.0,9.27,11.79,0.0
20151223:1811,0.0,0.0,9.24,11.79,0.0
20151223:1911,0.0,0.0,9.2,11.79,0.0
20151223:2011,0.0,0.0,9.12,11.79,0.0
20151223:2111,0.0,0.0,8.97,11.79,0.0
20151223:2211,0.0,0.0,8.95,11.79,0.0
20151223:2311,0.0,0.0,8.61,11.79,0.0
20151224:0011,0.0,0.0,8.46,11.79,0.0
20151224:0111,0.0,0.0,8.43,11.79,0.0
20151224:0211,0.0,0.0,8.43,11.79,0.0
20151224:0311,0.0,0.0,8.44,11.79,0.0
20151224:0411,0.0,0.0,8.42,11.79,0.0
20151224:0511,0.0,0.0,8.37,11.79,0.0
20151224:0611,0.0,0.0,8.26,11.79,0.0
20151224:0711,0.0,0.0,8.2,11.79,0.0
20151224:0811,0.0,0.0,8.22,11.79,0.0
20151224:0911,48.6,6.99,8.35,11.79,0.0
20151224:1011,116.53,10.65,8.67,11.79,0.0
20151224:1111,170.79,12.31,9.05,11.79,0.0
20151224:1211,49.67,11.84,9.42,11.79,0.0
20151224:1311,81.63,9.27,9.78,11.79,0.0
20151224:1411,75.84,4.83,10.19,11.79,0.0
20151224:1511,0.0,0.0,10.46,11.79,0.0
20151224:1611,0.0,0.0,10.68,11.79,0.0
20151224:1711,0.0,0.0,10.82,11.79,0.0
20151224:1811,0.0,0.0,10.71,11.79,0.0
20151224:1911,0.0,0.0,10.38,11.79,0.0
20151224:2011,0.0,0.0,10.0,11.79,0.0
20151224:2111,0.0,0.0,9.34,11.79,0.0
20151224:2211,0.0,0.0,9.48,11.79,0.0
20151224:2311,0.0,0.0,9.28,11.79,0.0
20151225:0011,0.0,0.0,9.04,11.79,0.0
20151225:0111,0.0,0.0,8.81,11.79,0.0
20151225:0211,0.0,0.0,8.59,11.79,0.0
20151225:0311,0.0,0.0,8.5,11.79,0.0
20151225:0411,0.0,0.0,8.35,11.79,0.0
20151225:0511,0.0,0.0,8.28,11.79,0.0
20151225:0611,0.0,0.0,8.3,11.79,0.0
20151225:0711,0.0,0.0,8.3,11.79,0.0
20151225:0811,0.0,0.0,8.31,11.79,0.0
20151225:0911,304.53,6.98,8.35,11.79,0.0
20151225:1011,273.27,10.65,8.55,11.79,0.0
20151225:1111,523.59,12.32,8.56,11.79,0.0
20151225:1211,234.39,11.87,8.67,11.79,0.0
20151225:1311,465.05,9.32,8.76,11.79,0.0
20151225:1411,39.62,4.89,8.81,11.79,0.0
20151225:1511,0.0,0.0,8.8,11.79,0.0
20151225:1611,0.0,0.0,8.75,11.79,0.0
20151225:1711,0.0,0.0,8.59,11.79,0.0
20151225:1811,0.0,0.0,8.36,11.79,0.0
20151225:1911,0.0,0.0,8.09,11.79,0.0
20151225:2011,0.0,0.0,7.89,11.79,0.0
20151225:2111,0.0,0.0,7.85,11.79,0.0
20151225:2211,0.0,0.0,8.35,11.79,0.0
20151225:2311,0.0,0.0,11.0,11.79,0.0
20151226:0011,0.0,0.0,11.19,11.79,0.0
20151226:0111,0.0,0.0,11.29,11.79,0.0
20151226:0211,0.0,0.0,11.28,11.79,0.0
20151226:0311,0.0,0.0,11.29,11.79,0.0
20151226:0411,0.0,0.0,11.13,11.79,0.0
20151226:0511,0.0,0.0,11.06,11.79,0.0
20151226:0611,0.0,0.0,10.97,11.79,0.0
20151226:0711,0.0,0.0,10.93,11.79,0.0
20151226:0811,0.0,0.0,10.81,11.79,0.0
20151226:0911,23.48,6.97,10.73,11.79,0.0
20151226:1011,58.05,10.65,11.0,11.79,0.0
20151226:1111,118.03,12.35,11.03,11.79,0.0
20151226:1211,150.2,11.91,11.03,11.79,0.0
20151226:1311,73.98,9.38,11.02,11.79,0.0
20151226:1411,100.3,4.96,11.0,11.79,0.0
20151226:1511,0.0,0.0,10.93,11.79,0.0
20151226:1611,0.0,0.0,10.85,11.79,0.0
20151226:1711,0.0,0.0,10.75,11.79,0.0
20151226:1811,0.0,0.0,10.69,11.79,0.0
20151226:1911,0.0,0.0,10.68,11.79,0.0
20151226:2011,0.0,0.0,10.64,11.79,0.0
20151226:2111,0.0,0.0,10.57,11.79,0.0
20151226:2211,0.0,0.0,10.77,11.79,0.0
20151226:2311,0.0,0.0,10.77,11.79,0.0
20151227:0011,0.0,0.0,10.73,11.79,0.0
20151227:0111,0.0,0.0,10.68,11.79,0.0
20151227:0211,0.0,0.0,10.62,11.79,0.0
20151227:0311,0.0,0.0,10.57,11.79,0.0
20151227:0411,0.0,0.0,10.43,11.79,0.0
20151227:0511,0.0,0.0,10.4,11.79,0.0
20151227:0611,0.0,0.0,10.19,11.79,0.0
20151227:0711,0.0,0.0,10.18,11.79,0.0
20151227:0811,0.0,0.0,10.24,11.79,0.0
20151227:0911,24.38,6.97,10.27,11.79,0.0
20151227:1011,80.9,10.67,10.7,11.79,0.0
20151227:1111,16.25,12.38,10.48,11.79,0.0
20151227:1211,175.92,11.96,10.21,11.79,0.0
20151227:1311,39.73,9.44,9.97,11.79,0.0
20151227:1411,18.96,5.03,9.75,11.79,0.0
20151227:1511,0.0,0.0,9.56,11.79,0.0
20151227:1611,0.0,0.0,9.42,11.79,0.0
20151227:1711,0.0,0.0,9.23,11.79,0.0
20151227:1811,0.0,0.0,9.09,11.79,0.0
20151227:1911,0.0,0.0,9.01,11.79,0.0
20151227:2011,0.0,0.0,8.91,11.79,0.0
20151227:2111,0.0,0.0,8.85,11.79,0.0
20151227:2211,0.0,0.0,8.88,11.79,0.0
20151227:2311,0.0,0.0,8.85,11.79,0.0
20151228:0011,0.0,0.0,8.8,11.79,0.0
20151228:0111,0.0,0.0,8.73,11.79,0.0
20151228:0211,0.0,0.0,8.63,11.79,0.0
20151228:0311,0.0,0.0,8.5,11.79,0.0
20151228:0411,0.0,0.0,8.47,11.79,0.0
20151228:0511,0.0,0.0,8.42,11.79,0.0
20151228:0611,0.0,0.0,8.24,11.79,0.0
20151228:0711,0.0,0.0,8.03,11.79,0.0
20151228:0811,0.0,0.0,7.79,11.79,0.0
20151228:0911,17.16,6.97,7.61,11.79,0.0
20151228:1011,33.41,10.69,7.27,11.79,0.0
20151228:1111,48.76,12.42,7.18,11.79,0.0
20151228:1211,50.57,12.02,7.2,11.79,0.0
20151228:1311,35.22,9.51,7.28,11.79,0.0
20151228:1411,15.35,5.12,7.36,11.79,0.0
20151228:1511,0.0,0.0,7.34,11.79,0.0
20151228:1611,0.0,0.0,7.2,11.79,0.0
20151228:1711,0.0,0.0,6.99,11.79,0.0
20151228:1811,0.0,0.0,6.74,11.79,0.0
20151228:1911,0.0,0.0,6.56,11.79,0.0
20151228:2011,0.0,0.0,6.45,11.79,0.0
20151228:2111,0.0,0.0,6.54,11.79,0.0
20151228:2211,0.0,0.0,6.72,11.79,0.0
20151228:2311,0.0,0.0,6.88,11.79,0.0
20151229:0011,0.0,0.0,7.02,11.79,0.0
20151229:0111,0.0,0.0,7.09,11.79,0.0
20151229:0211,0.0,0.0,7.1,11.79,0.0
20151229:0311,0.0,0.0,7.11,11.79,0.0
20151229:0411,0.0,0.0,7.09,11.79,0.0
20151229:0511,0.0,0.0,7.0,11.79,0.0
20151229:0611,0.0,0.0,6.92,11.79,0.0
20151229:0711,0.0,0.0,6.92,11.79,0.0
20151229:0811,0.0,0.0,6.98,11.79,0.0
20151229:0911,16.25,6.99,7.11,11.79,0.0
20151229:1011,25.28,10.72,7.04,11.79,0.0
20151229:1111,46.96,12.47,7.28,11.79,0.0
20151229:1211,45.15,12.08,7.48,11.79,0.0
20151229:1311,48.47,9.59,7.71,11.79,0.0
20151229:1411,40.75,5.21,7.85,11.79,0.0
20151229:1511,0.0,0.0,7.99,11.79,0.0
20151229:1611,0.0,0.0,8.09,11.79,0.0
20151229:1711,0.0,0.0,8.09,11.79,0.0
20151229:1811,0.0,0.0,8.03,11.79,0.0
20151229:1911,0.0,0.0,7.95,11.79,0.0
20151229:2011,0.0,0.0,7.94,11.79,0.0
20151229:2111,0.0,0.0,7.94,11.79,0.0
20151229:2211,0.0,0.0,8.0,11.79,0.0
20151229:2311,0.0,0.0,8.06,11.79,0.0
20151230:0011,0.0,0.0,8.16,11.79,0.0
20151230:0111,0.0,0.0,8.24,11.79,0.0
20151230:0211,0.0,0.0,8.25,11.79,0.0
20151230:0311,0.0,0.0,8.16,11.79,0.0
20151230:0411,0.0,0.0,8.04,11.79,0.0
20151230:0511,0.0,0.0,7.92,11.79,0.0
20151230:0611,0.0,0.0,7.8,11.79,0.0
20151230:0711,0.0,0.0,7.69,11.79,0.0
20151230:0811,0.0,0.0,7.56,11.79,0.0
20151230:0911,201.3,7.01,7.39,11.79,0.0
20151230:1011,412.49,10.76,7.14,11.79,0.0
20151230:1111,222.98,12.52,7.01,11.79,0.0
20151230:1211,380.95,12.15,7.08,11.79,0.0
20151230:1311,239.31,9.67,7.29,11.79,0.0
20151230:1411,162.26,5.3,7.53,11.79,0.0
20151230:1511,0.0,0.0,7.75,11.79,0.0
20151230:1611,0.0,0.0,7.8,11.79,0.0
20151230:1711,0.0,0.0,7.67,11.79,0.0
20151230:1811,0.0,0.0,7.38,11.79,0.0
20151230:1911,0.0,0.0,7.1,11.79,0.0
20151230:2011,0.0,0.0,6.86,11.79,0.0
20151230:2111,0.0,0.0,6.72,11.79,0.0
20151230:2211,0.0,0.0,6.4,11.79,0.0
20151230:2311,0.0,0.0,6.33,11.79,0.0
20151231:0011,0.0,0.0,6.28,11.79,0.0
20151231:0111,0.0,0.0,6.24,11.79,0.0
20151231:0211,0.0,0.0,6.21,11.79,0.0
20151231:0311,0.0,0.0,6.19,11.79,0.0
20151231:0411,0.0,0.0,6.2,11.79,0.0
20151231:0511,0.0,0.0,6.21,11.79,0.0
20151231:0611,0.0,0.0,6.3,11.79,0.0
20151231:0711,0.0,0.0,6.45,11.79,0.0
20151231:0811,0.0,0.0,6.57,11.79,0.0
20151231:0911,35.76,7.04,7.05,11.79,0.0
20151231:1011,64.51,10.81,7.85,11.79,0.0
20151231:1111,75.6,12.59,8.63,11.79,0.0
20151231:1211,175.98,12.23,8.89,11.79,0.0
20151231:1311,218.93,9.77,8.93,11.79,0.0
20151231:1411,31.83,5.4,8.95,11.79,0.0
20151231:1511,0.0,0.0,8.94,11.79,0.0
20151231:1611,0.0,0.0,8.88,11.79,0.0
20151231:1711,0.0,0.0,8.8,11.79,0.0
20151231:1811,0.0,0.0,8.73,11.79,0.0
20151231:1911,0.0,0.0,8.72,11.79,0.0
20151231:2011,0.0,0.0,8.59,11.79,0.0
20151231:2111,0.0,0.0,8.21,11.79,0.0
20151231:2211,0.0,0.0,7.56,11.79,0.0
20151231:2311,0.0,0.0,7.34,11.79,0.0
20160101:0011,0.0,0.0,7.34,8.9,0.0
20160101:0111,0.0,0.0,7.36,8.9,0.0
20160101:0211,0.0,0.0,7.35,9.03,0.0
20160101:0311,0.0,0.0,7.33,9.03,0.0
20160101:0411,0.0,0.0,7.3,8.97,0.0
20160101:0511,0.0,0.0,7.28,9.1,0.0
20160101:0611,0.0,0.0,7.41,8.14,0.0
20160101:0711,0.0,0.0,7.75,6.76,0.0
20160101:0811,0.0,0.0,8.03,5.38,0.0
20160101:0911,279.14,7.09,8.19,4.48,0.0
20160101:1011,220.74,10.87,8.33,3.66,0.0
20160101:1111,565.99,12.68,8.17,3.66,0.0
20160101:1211,475.7,12.34,8.02,3.52,0.0
20160101:1311,337.32,9.89,7.85,3.38,0.0
20160101:1411,211.49,5.54,7.74,2.76,0.0
20160101:1511,0.0,0.0,7.64,2.14,0.0
20160101:1611,0.0,0.0,7.57,1.86,0.0
20160101:1711,0.0,0.0,7.46,2.28,0.0
20160101:1811,0.0,0.0,7.36,2.9,0.0
20160101:1911,0.0,0.0,7.2,4.07,0.0
20160101:2011,0.0,0.0,7.06,5.24,0.0
20160101:2111,0.0,0.0,6.86,5.72,0.0
20160101:2211,0.0,0.0,5.86,6.9,0.0
20160101:2311,0.0,0.0,5.25,7.72,0.0
20160102:0011,0.0,0.0,4.93,9.17,0.0
20160102:0111,0.0,0.0,4.97,10.21,0.0
20160102:0211,0.0,0.0,5.29,10.48,0.0
20160102:0311,0.0,0.0,5.61,10.83,0.0
20160102:0411,0.0,0.0,5.87,11.66,0.0
20160102:0511,0.0,0.0,5.99,11.93,0.0
20160102:0611,0.0,0.0,5.63,12.69,0.0
20160102:0711,0.0,0.0,5.27,13.24,0.0
20160102:0811,0.0,0.0,4.82,14.28,0.0
20160102:0911,0.0,0.0,4.48,14.62,0.0
20160102:1011,55.16,10.94,4.39,14.76,0.0
20160102:1111,35.22,12.76,4.26,14.69,0.0
20160102:1211,141.09,12.44,4.03,14.83,0.0
20160102:1311,36.12,10.0,3.63,14.9,0.0
20160102:1411,18.96,5.66,3.19,14.97,0.0
20160102:1511,0.0,0.0,2.76,15.03,0.0
20160102:1611,0.0,0.0,2.38,15.03,0.0
20160102:1711,0.0,0.0,1.89,15.03,0.0
20160102:1811,0.0,0.0,1.51,14.9,0.0
20160102:1911,0.0,0.0,1.05,14.76,0.0
20160102:2011,0.0,0.0,0.67,14.55,0.0
20160102:2111,0.0,0.0,0.34,14.41,0.0
20160102:2211,0.0,0.0,-0.06,14.41,0.0
20160102:2311,0.0,0.0,-0.29,14.55,0.0
20160103:0011,0.0,0.0,-0.39,14.69,0.0
20160103:0111,0.0,0.0,-0.46,14.62,0.0
20160103:0211,0.0,0.0,-0.51,14.48,0.0
20160103:0311,0.0,0.0,-0.57,14.41,0.0
20160103:0411,0.0,0.0,-0.61,14.69,0.0
20160103:0511,0.0,0.0,-0.7,14.76,0.0
20160103:0611,0.0,0.0,-0.76,14.97,0.0
20160103:0711,0.0,0.0,-0.73,15.03,0.0
20160103:0811,0.0,0.0,-0.72,15.17,0.0
20160103:0911,27.09,7.19,-0.72,15.17,0.0
20160103:1011,40.64,11.01,-0.7,14.55,0.0
20160103:1111,29.8,12.84,-0.61,14.69,0.0
20160103:1211,38.83,12.54,-0.56,14.76,0.0
20160103:1311,43.34,10.12,-0.57,14.62,0.0
20160103:1411,5.42,5.79,-0.59,14.55,0.0
20160103:1511,0.0,0.0,-0.6,14.55,0.0
20160103:1611,0.0,0.0,-0.67,14.83,0.0
20160103:1711,0.0,0.0,-0.77,14.62,0.0
20160103:1811,0.0,0.0,-0.84,14.69,0.0
20160103:1911,0.0,0.0,-0.87,14.76,0.0
20160103:2011,0.0,0.0,-0.86,14.55,0.0
20160103:2111,0.0,0.0,-0.83,14.41,0.0
20160103:2211,0.0,0.0,-1.02,14.0,0.0
20160103:2311,0.0,0.0,-1.12,14.07,0.0
20160104:0011,0.0,0.0,-1.21,14.21,0.0
20160104:0111,0.0,0.0,-1.29,14.28,0.0
20160104:0211,0.0,0.0,-1.38,14.14,0.0
20160104:0311,0.0,0.0,-1.48,13.86,0.0
20160104:0411,0.0,0.0,-1.63,14.07,0.0
20160104:0511,0.0,0.0,-1.8,14.14,0.0
20160104:0611,0.0,0.0,-1.9,14.0,0.0
20160104:0711,0.0,0.0,-2.02,13.66,0.0
20160104:0811,0.0,0.0,-2.11,13.59,0.0
20160104:0911,28.9,7.25,-2.23,13.52,0.0
20160104:1011,93.26,11.08,-2.69,12.9,0.0
20160104:1111,37.02,12.94,-2.59,12.28,0.0
20160104:1211,356.98,12.65,-2.3,11.86,0.0
20160104:1311,36.12,10.24,-2.03,11.66,0.0
20160104:1411,60.72,5.92,-1.7,11.31,0.0
20160104:1511,0.0,0.0,-1.53,11.17,0.0
20160104:1611,0.0,0.0,-1.59,11.45,0.0
20160104:1711,0.0,0.0,-1.63,11.79,0.0
20160104:1811,0.0,0.0,-1.59,11.72,0.0
20160104:1911,0.0,0.0,-1.51,11.66,0.0
20160104:2011,0.0,0.0,-1.48,11.66,0.0
20160104:2111,0.0,0.0,-1.41,11.79,0.0
20160104:2211,0.0,0.0,-1.67,12.07,0.0
20160104:2311,0.0,0.0,-1.69,12.28,0.0
20160105:0011,0.0,0.0,-1.7,12.41,0.0
20160105:0111,0.0,0.0,-1.69,12.62,0.0
20160105:0211,0.0,0.0,-1.67,12.76,0.0
20160105:0311,0.0,0.0,-1.65,12.69,0.0
20160105:0411,0.0,0.0,-1.59,12.62,0.0
20160105:0511,0.0,0.0,-1.57,12.76,0.0
20160105:0611,0.0,0.0,-1.62,13.1,0.0
20160105:0711,0.0,0.0,-1.65,13.38,0.0
20160105:0811,0.0,0.0,-1.7,13.38,0.0
20160105:0911,64.55,7.31,-1.7,13.31,0.0
20160105:1011,113.06,11.17,-1.84,13.38,0.0
20160105:1111,110.91,13.04,-1.54,12.97,0.0
20160105:1211,181.94,12.77,-1.27,13.24,0.0
20160105:1311,52.69,10.37,-0.87,13.52,0.0
20160105:1411,68.21,6.05,-0.53,13.59,0.0
20160105:1511,0.0,0.0,-0.44,13.72,0.0
20160105:1611,0.0,0.0,-0.38,13.59,0.0
20160105:1711,0.0,0.0,-0.39,13.45,0.0
20160105:1811,0.0,0.0,-0.43,13.38,0.0
20160105:1911,0.0,0.0,-0.43,13.31,0.0
20160105:2011,0.0,0.0,-0.4,13.1,0.0
20160105:2111,0.0,0.0,-0.43,12.76,0.0
20160105:2211,0.0,0.0,-0.66,12.55,0.0
20160105:2311,0.0,0.0,-0.8,12.55,0.0
20160106:0011,0.0,0.0,-0.93,12.69,0.0
20160106:0111,0.0,0.0,-1.02,12.69,0.0
20160106:0211,0.0,0.0,-1.07,12.48,0.0
20160106:0311,0.0,0.0,-1.06,12.21,0.0
20160106:0411,0.0,0.0,-1.09,11.93,0.0
20160106:0511,0.0,0.0,-1.16,11.79,0.0
20160106:0611,0.0,0.0,-1.25,11.93,0.0
20160106:0711,0.0,0.0,-1.32,12.0,0.0
20160106:0811,0.0,0.0,-1.39,12.07,0.0
20160106:0911,57.38,7.39,-1.41,12.0,0.0
20160106:1011,61.41,11.26,-1.55,11.86,0.0
20160106:1111,60.5,13.15,-1.46,11.52,0.0
20160106:1211,53.28,12.89,-1.21,11.17,0.0
20160106:1311,39.73,10.51,-0.97,11.17,0.0
20160106:1411,23.48,6.2,-0.75,11.17,0.0
20160106:1511,0.0,0.0,-0.67,11.45,0.0
20160106:1611,0.0,0.0,-0.76,11.45,0.0
20160106:1711,0.0,0.0,-0.93,11.52,0.0
20160106:1811,0.0,0.0,-1.07,11.45,0.0
20160106:1911,0.0,0.0,-1.2,11.31,0.0
20160106:2011,0.0,0.0,-1.25,11.31,0.0
20160106:2111,0.0,0.0,-1.29,11.45,0.0
20160106:2211,0.0,0.0,-1.14,11.45,0.0
20160106:2311,0.0,0.0,-1.3,11.66,0.0
20160107:0011,0.0,0.0,-1.42,11.79,0.0
20160107:0111,0.0,0.0,-1.51,12.21,0.0
20160107:0211,0.0,0.0,-1.53,12.48,0.0
20160107:0311,0.0,0.0,-1.54,12.34,0.0
20160107:0411,0.0,0.0,-1.49,11.93,0.0
20160107:0511,0.0,0.0,-1.51,11.86,0.0
20160107:0611,0.0,0.0,-1.5,12.28,0.0
20160107:0711,0.0,0.0,-1.42,12.48,0.0
20160107:0811,0.0,0.0,-1.29,12.69,0.0
20160107:0911,29.8,7.47,-1.29,12.97,0.0
20160107:1011,22.58,11.36,-0.93,13.31,0.0
20160107:1111,21.67,13.27,-0.59,13.1,0.0
20160107:1211,77.16,13.02,-0.22,12.83,0.0
20160107:1311,47.86,10.65,0.01,13.03,0.0
20160107:1411,37.43,6.35,0.1,13.24,0.0
20160107:1511,0.0,0.0,0.15,13.66,0.0
20160107:1611,0.0,0.0,0.21,13.79,0.0
20160107:1711,0.0,0.0,0.32,13.79,0.0
20160107:1811,0.0,0.0,0.6,14.48,0.0
20160107:1911,0.0,0.0,0.76,14.69,0.0
20160107:2011,0.0,0.0,1.01,14.69,0.0
20160107:2111,0.0,0.0,1.23,14.48,0.0
20160107:2211,0.0,0.0,1.2,13.24,0.0
20160107:2311,0.0,0.0,1.5,13.52,0.0
20160108:0011,0.0,0.0,2.15,11.72,0.0
20160108:0111,0.0,0.0,4.9,8.55,0.0
20160108:0211,0.0,0.0,6.58,13.45,0.0
20160108:0311,0.0,0.0,6.48,15.31,0.0
20160108:0411,0.0,0.0,6.35,14.07,0.0
20160108:0511,0.0,0.0,6.4,14.21,0.0
20160108:0611,0.0,0.0,6.63,14.97,0.0
20160108:0711,0.0,0.0,6.63,16.0,0.0
20160108:0811,0.0,0.0,6.17,16.0,0.0
20160108:0911,16.25,7.56,5.5,15.24,0.0
20160108:1011,20.77,11.47,4.45,15.93,0.0
20160108:1111,16.25,13.39,4.7,14.62,0.0
20160108:1211,17.16,13.16,4.91,13.31,0.0
20160108:1311,18.06,10.8,5.14,12.48,0.0
20160108:1411,12.64,6.51,5.32,10.9,0.0
20160108:1511,0.0,0.0,5.51,8.83,0.0
20160108:1611,0.0,0.0,5.71,6.83,0.0
20160108:1711,0.0,0.0,5.82,4.83,0.0
20160108:1811,0.0,0.0,5.82,2.55,0.0
20160108:1911,0.0,0.0,5.75,1.24,0.0
20160108:2011,0.0,0.0,5.61,3.72,0.0
20160108:2111,0.0,0.0,5.52,6.07,0.0
20160108:2211,0.0,0.0,5.03,7.17,0.0
20160108:2311,0.0,0.0,5.4,7.93,0.0
20160109:0011,0.0,0.0,5.41,8.62,0.0
20160109:0111,0.0,0.0,5.16,8.76,0.0
20160109:0211,0.0,0.0,4.92,8.97,0.0
20160109:0311,0.0,0.0,4.69,8.97,0.0
20160109:0411,0.0,0.0,4.44,9.03,0.0
20160109:0511,0.0,0.0,4.35,8.76,0.0
20160109:0611,0.0,0.0,4.37,8.62,0.0
20160109:0711,0.0,0.0,4.49,8.69,0.0
20160109:0811,0.0,0.0,4.59,8.76,0.0
20160109:0911,17.16,7.66,4.68,8.48,0.0
20160109:1011,440.41,11.58,4.71,8.48,0.0
20160109:1111,502.63,13.53,4.81,8.21,0.0
20160109:1211,231.64,13.31,4.88,8.21,0.0
20160109:1311,138.71,10.96,5.07,7.93,0.0
20160109:1411,173.47,6.67,5.29,7.86,0.0
20160109:1511,0.0,0.0,5.38,8.07,0.0
20160109:1611,0.0,0.0,5.39,7.93,0.0
20160109:1711,0.0,0.0,5.4,8.07,0.0
20160109:1811,0.0,0.0,5.41,8.83,0.0
20160109:1911,0.0,0.0,5.42,9.38,0.0
20160109:2011,0.0,0.0,5.42,9.24,0.0
20160109:2111,0.0,0.0,5.41,9.45,0.0
20160109:2211,0.0,0.0,5.3,9.79,0.0
20160109:2311,0.0,0.0,5.14,9.52,0.0
20160110:0011,0.0,0.0,4.94,9.79,0.0
20160110:0111,0.0,0.0,4.66,10.28,0.0
20160110:0211,0.0,0.0,4.5,10.69,0.0
20160110:0311,0.0,0.0,4.38,10.97,0.0
20160110:0411,0.0,0.0,4.35,11.66,0.0
20160110:0511,0.0,0.0,4.39,11.59,0.0
20160110:0611,0.0,0.0,4.64,11.45,0.0
20160110:0711,0.0,0.0,5.17,10.69,0.0
20160110:0811,0.0,0.0,5.63,10.14,0.0
20160110:0911,18.06,7.76,5.97,10.28,0.0
20160110:1011,46.05,11.71,6.65,9.24,0.0
20160110:1111,222.27,13.67,6.77,9.17,0.0
20160110:1211,176.89,13.46,6.66,9.17,0.0
20160110:1311,101.11,11.12,6.58,8.76,0.0
20160110:1411,12.64,6.84,6.56,8.9,0.0
20160110:1511,0.0,0.0,6.58,9.24,0.0
20160110:1611,0.0,0.0,6.52,9.1,0.0
20160110:1711,0.0,0.0,6.35,8.97,0.0
20160110:1811,0.0,0.0,6.18,9.31,0.0
20160110:1911,0.0,0.0,6.06,9.59,0.0
20160110:2011,0.0,0.0,5.94,9.52,0.0
20160110:2111,0.0,0.0,5.86,8.97,0.0
20160110:2211,0.0,0.0,6.06,9.24,0.0
20160110:2311,0.0,0.0,5.89,9.1,0.0
20160111:0011,0.0,0.0,5.73,8.21,0.0
20160111:0111,0.0,0.0,5.65,7.79,0.0
20160111:0211,0.0,0.0,5.63,7.79,0.0
20160111:0311,0.0,0.0,5.59,7.59,0.0
20160111:0411,0.0,0.0,5.54,7.79,0.0
20160111:0511,0.0,0.0,5.44,7.72,0.0
20160111:0611,0.0,0.0,5.27,7.17,0.0
20160111:0711,0.0,0.0,5.12,7.38,0.0
20160111:0811,0.0,0.0,5.03,7.72,0.0
20160111:0911,116.78,7.87,5.02,7.38,0.0
20160111:1011,216.98,11.84,4.52,7.93,0.0
20160111:1111,178.53,13.81,4.48,7.59,0.0
20160111:1211,401.77,13.62,4.59,7.17,0.0
20160111:1311,129.27,11.29,4.84,7.24,0.0
20160111:1411,77.78,7.01,5.11,8.69,0.0
20160111:1511,0.0,0.0,5.2,9.38,0.0
20160111:1611,0.0,0.0,5.11,8.76,0.0
20160111:1711,0.0,0.0,4.93,8.62,0.0
20160111:1811,0.0,0.0,4.81,8.97,0.0
20160111:1911,0.0,0.0,4.79,9.17,0.0
20160111:2011,0.0,0.0,4.85,9.1,0.0
20160111:2111,0.0,0.0,4.91,8.9,0.0
20160111:2211,0.0,0.0,4.11,8.55,0.0
20160111:2311,0.0,0.0,4.01,8.14,0.0
20160112:0011,0.0,0.0,4.04,7.38,0.0
20160112:0111,0.0,0.0,4.36,6.9,0.0
20160112:0211,0.0,0.0,4.72,6.97,0.0
20160112:0311,0.0,0.0,5.11,6.62,0.0
20160112:0411,0.0,0.0,5.2,6.14,0.0
20160112:0511,0.0,0.0,5.34,6.0,0.0
20160112:0611,0.0,0.0,5.71,6.0,0.0
20160112:0711,0.0,0.0,6.09,6.07,0.0
20160112:0811,8.13,2.34,6.36,6.48,0.0
20160112:0911,98.9,7.99,6.49,7.72,0.0
20160112:1011,174.8,11.97,6.61,9.59,0.0
20160112:1111,297.16,13.97,6.54,9.52,0.0
20160112:1211,590.2,13.79,6.38,9.52,0.0
20160112:1311,113.34,11.47,6.24,9.79,0.0
