rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/n_updates,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/clip_fraction,train/loss
336.0,-61337.22657666667,1,22,91,2048,,,,,,,,,,,
336.0,-48576.448552416674,2,23,177,4096,10,11261288.98125,-4.249221195280552,1.5139579772949219e-05,0.9952853322029114,-0.01344443228590535,0.0089514945,0.0003,0.2,0.091259765625,5064141.5
336.0,-49190.80785061111,3,23,265,6144,20,3857010.0546875,-4.237889419496059,-8.785724639892578e-05,0.991993248462677,-0.01126781202183338,0.008902445,0.0003,0.2,0.09140625,2188281.5
336.0,-47626.259612999995,4,23,353,8192,30,7432552.975,-4.223169109225273,-5.960464477539062e-07,0.9859828352928162,-0.012537352315848693,0.008431543,0.0003,0.2,0.069384765625,3405972.75
336.0,-44079.326070566654,5,23,437,10240,40,5960571.784375,-4.207753881812096,-1.3113021850585938e-06,0.9814863801002502,-0.012430682228296065,0.007548757,0.0003,0.2,0.065771484375,2218711.25
336.0,-40851.350778416665,6,23,526,12288,50,2716234.751953125,-4.1829741761088375,1.8477439880371094e-06,0.9706910252571106,-0.019192122563254088,0.0112363715,0.0003,0.2,0.12958984375,1272611.75
336.0,-37284.976406261914,7,23,612,14336,60,2498199.700390625,-4.159622147679329,9.5367431640625e-07,0.9659720063209534,-0.013616130744776456,0.009023381,0.0003,0.2,0.097900390625,1082389.625
336.0,-34381.91687075,8,23,698,16384,70,1313856.4970703125,-4.138269470632077,4.172325134277344e-07,0.9591096043586731,-0.01585743629548233,0.009159335,0.0003,0.2,0.11552734375,777142.5
336.0,-31172.037492481486,9,23,785,18432,80,958404.6049804688,-4.099422457814216,-2.5033950805664062e-06,0.9426856637001038,-0.015652630587283056,0.009890173,0.0003,0.2,0.115966796875,540346.625
336.0,-28015.42368055,10,23,870,20480,90,828661.6483398437,-4.063851988315582,1.5497207641601562e-06,0.943016767501831,-0.00913012086530216,0.03678699,0.0003,0.2,0.22431640625,570312.6875
336.0,-24973.744847000005,11,23,956,22528,100,627287.0302734375,-4.066469144821167,2.6404857635498047e-05,0.9358646273612976,-0.01451446165010566,0.010301884,0.0003,0.2,0.127783203125,389013.65625
336.0,-21858.42044930137,12,23,1041,24576,110,584506.4953125,-4.042853201925754,0.012782692909240723,0.9285747408866882,-0.013239691693161148,0.009133043,0.0003,0.2,0.094384765625,415944.40625
336.0,-19141.63956325317,13,23,1127,26624,120,863347.1599609375,-4.018748956918716,0.022828102111816406,0.9213579297065735,-0.013089951412257505,0.008235853,0.0003,0.2,0.085009765625,383666.34375
336.0,-16460.836473776475,14,23,1213,28672,130,930341.9548828125,-3.992773470282555,0.02190375328063965,0.9139086604118347,-0.011341574785183184,0.0074237036,0.0003,0.2,0.075830078125,434791.46875
336.0,-14511.240988648351,15,23,1299,30720,140,1491142.3072265624,-3.9772240415215494,0.017249703407287598,0.9117135405540466,-0.007373834289319347,0.0061883787,0.0003,0.2,0.03271484375,719898.4375
336.0,-12108.286377371136,16,23,1386,32768,150,1023923.577734375,-3.970029403269291,0.011559903621673584,0.9091903567314148,-0.00529204236518126,0.0058403416,0.0003,0.2,0.031396484375,463266.625
336.0,-8691.96738252,17,23,1476,34816,160,1722346.610546875,-3.962021244317293,0.006108105182647705,0.9075198173522949,-0.00792681651582825,0.007014054,0.0003,0.2,0.054296875,775031.0
336.0,-4518.55137246,18,23,1564,36864,170,1726752.186328125,-3.954820888489485,0.002174675464630127,0.9048416614532471,-0.008958039246499539,0.005753091,0.0003,0.2,0.0423828125,824447.625
336.0,-439.25521161999944,19,23,1651,38912,180,1757928.2109375,-3.9447335436940194,0.00030738115310668945,0.901861846446991,-0.006025941070402041,0.005555761,0.0003,0.2,0.0267578125,896162.625
336.0,4326.9700305,20,23,1744,40960,190,2360252.643359375,-3.933267379552126,0.00033152103424072266,0.8980920314788818,-0.0042878539919911415,0.004544845,0.0003,0.2,0.027392578125,1016566.9375
336.0,8398.889063460001,21,23,1836,43008,200,2191810.959375,-3.923181603103876,0.00013589859008789062,0.8959043622016907,-0.007443500502995448,0.0062767304,0.0003,0.2,0.05283203125,1005961.4375
336.0,11632.064991440002,22,23,1939,45056,210,2301526.7078125,-3.9161858089268207,0.0002186894416809082,0.8939568400382996,-0.004308383447641973,0.0040470045,0.0003,0.2,0.020849609375,1004317.875
336.0,14245.082429540002,23,23,2032,47104,220,2334715.45,-3.911694449931383,0.0010467171669006348,0.8935052752494812,-0.006720247957127867,0.0060056113,0.0003,0.2,0.039306640625,1247409.75
336.0,16630.00862511,24,22,2138,49152,230,2100892.610546875,-3.9023647613823416,3.248453140258789e-05,0.8892642855644226,-0.005254649781272746,0.003970354,0.0003,0.2,0.0287109375,972094.625
336.0,18402.92004115,25,22,2232,51200,240,2440951.958984375,-3.8891174726188185,0.0007257461547851562,0.8862326145172119,-0.0042265301104635,0.004231999,0.0003,0.2,0.015576171875,1361989.875
336.0,19996.66514874,26,22,2321,53248,250,2381125.043359375,-3.8727794639766215,8.64863395690918e-05,0.8800396919250488,0.011515179493289906,0.01582162,0.0003,0.2,0.16181640625,819964.875
336.0,21379.13222547,27,22,2413,55296,260,2159378.147265625,-3.8507818073034286,0.0020567774772644043,0.8742402195930481,-0.005514387167932,0.0054440605,0.0003,0.2,0.039501953125,1026497.25
