train/critic_loss,train/learning_rate,train/actor_loss,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/episodes,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
57020375040.0,0.0003,610356.8125,25,-3.373812675476074,12,1.0690284967422485,1,336,336.0,-90587.527941,235
45465886720.0,0.0003,622727.375,25,-8.400541305541992,26,1.1809215545654297,2,672,336.0,-110272.78082449999,571
37024555008.0,0.0003,641717.3125,26,-7.458246231079102,38,1.304945945739746,3,1008,336.0,-116678.29739866666,907
26122043392.0,0.0003,588786.5,26,-9.21210765838623,50,1.3893376588821411,4,1344,336.0,-120190.14942325,1243
21861584896.0,0.0003,587683.25,26,-11.249238967895508,62,1.49118971824646,5,1680,336.0,-122077.42855499999,1579
20571713536.0,0.0003,526892.4375,26,-13.481046676635742,75,1.6120272874832153,6,2016,336.0,-123465.51966266666,1915
17019141120.0,0.0003,507737.625,26,-15.69281005859375,87,1.7525783777236938,7,2352,336.0,-124316.42637171429,2251
11545083904.0,0.0003,504361.9375,26,-18.30615234375,100,1.913873314857483,8,2688,336.0,-124987.41563675,2587
9799354368.0,0.0003,540053.875,26,-20.74884605407715,113,2.097040891647339,9,3024,336.0,-125586.87667822222,2923
10402104320.0,0.0003,514413.75,26,-23.497695922851562,126,2.30344295501709,10,3360,336.0,-125994.6772453,3259
8879498240.0,0.0003,524928.9375,26,-26.097728729248047,141,2.535081624984741,11,3696,336.0,-126312.86100272728,3595
5254081536.0,0.0003,458088.34375,26,-28.902616500854492,154,2.793912172317505,12,4032,336.0,-126592.71607875002,3931
5921222656.0,0.0003,475774.4375,26,-31.551433563232422,167,3.082278251647949,13,4368,336.0,-126811.47874684617,4267
4591924224.0,0.0003,452683.75,26,-34.37908172607422,180,3.402862071990967,14,4704,336.0,-127050.51780678573,4603
3192583680.0,0.0003,487928.3125,25,-37.24698257446289,196,3.758671522140503,15,5040,336.0,-127266.77932940001,4939
4654369280.0,0.0003,432251.0,25,-39.951595306396484,212,4.153306007385254,16,5376,336.0,-127448.44117775,5275
3061000448.0,0.0003,440862.28125,24,-42.72956466674805,228,4.590561389923096,17,5712,336.0,-127555.45861823531,5611
2305872384.0,0.0003,441291.5625,24,-45.369834899902344,244,5.0749640464782715,18,6048,336.0,-127666.73070700001,5947
1060459008.0,0.0003,440071.375,24,-48.15147018432617,259,5.611303806304932,19,6384,336.0,-127768.31632542105,6283
1222005888.0,0.0003,438478.4375,24,-51.66002655029297,274,6.205081939697266,20,6720,336.0,-127865.37519574999,6619
2186976000.0,0.0003,418648.6875,24,-54.29570770263672,288,6.861684322357178,21,7056,336.0,-127989.94390057142,6955
809500608.0,0.0003,426412.0,24,-56.98491287231445,303,7.588551044464111,22,7392,336.0,-128099.86477736362,7291
780081024.0,0.0003,408208.625,24,-59.45297622680664,318,8.392561912536621,23,7728,336.0,-128152.29057543477,7627
963685120.0,0.0003,389270.625,24,-62.71958923339844,333,9.281904220581055,24,8064,336.0,-128214.59502379165,7963
1304473856.0,0.0003,395165.0625,23,-65.09992218017578,350,10.26612377166748,25,8400,336.0,-128260.16531083999,8299
611821568.0,0.0003,396206.96875,23,-68.50221252441406,366,11.354759216308594,26,8736,336.0,-128606.10402830769,8635
910477760.0,0.0003,377256.96875,23,-71.05200958251953,382,12.558649063110352,27,9072,336.0,-128672.6732405185,8971
422628224.0,0.0003,375674.28125,23,-73.53012084960938,398,13.890128135681152,28,9408,336.0,-128710.37845224999,9307
939677056.0,0.0003,369966.625,23,-76.55896759033203,413,15.362768173217773,29,9744,336.0,-128729.88225968964,9643
371378976.0,0.0003,371395.1875,23,-79.70668029785156,428,16.99081039428711,30,10080,336.0,-128751.67294823332,9979
935590528.0,0.0003,352074.75,23,-82.76192474365234,443,18.79130744934082,31,10416,336.0,-128775.05842732257,10315
821059072.0,0.0003,350912.9375,23,-85.62522888183594,460,20.78373908996582,32,10752,336.0,-128801.3967125625,10651
1843334656.0,0.0003,335718.65625,23,-87.55490112304688,476,22.98795509338379,33,11088,336.0,-128821.55256912121,10987
327107296.0,0.0003,339651.9375,23,-90.994384765625,491,25.423795700073242,34,11424,336.0,-128842.40840129412,11323
549867264.0,0.0003,342208.40625,23,-93.36495208740234,506,28.119718551635742,35,11760,336.0,-128864.18084542858,11659
2174924288.0,0.0003,319234.125,23,-96.7843017578125,521,31.102205276489258,36,12096,336.0,-128886.5339140278,11995
650153344.0,0.0003,333357.09375,23,-98.40217590332031,536,34.401397705078125,37,12432,336.0,-128902.90734210811,12331
663447936.0,0.0003,333926.5,23,-102.37460327148438,550,38.049949645996094,38,12768,336.0,-128913.63519118422,12667
672816128.0,0.0003,322089.8125,23,-104.58797454833984,565,42.084312438964844,39,13104,336.0,-128932.63403702565,13003
136574400.0,0.0003,317331.09375,23,-108.41573333740234,582,46.5478401184082,40,13440,336.0,-128954.35754545001,13339
1940505856.0,0.0003,323297.78125,23,-111.32305908203125,598,51.485694885253906,41,13776,336.0,-128984.61084885366,13675
582003072.0,0.0003,307071.40625,23,-114.19731903076172,613,56.94566345214844,42,14112,336.0,-128995.54941776191,14011
585080768.0,0.0003,324129.6875,23,-115.4149398803711,628,62.982391357421875,43,14448,336.0,-129005.82460186048,14347
1084552192.0,0.0003,315924.03125,22,-119.72835540771484,643,69.6638412475586,44,14784,336.0,-129028.14998693182,14683
1428711040.0,0.0003,313356.78125,22,-121.27581024169922,657,77.052734375,45,15120,336.0,-129046.04051811111,15019
1501578240.0,0.0003,308888.625,22,-123.51538848876953,672,85.22764587402344,46,15456,336.0,-129056.17310641306,15355
357909568.0,0.0003,320548.09375,22,-128.0259246826172,687,94.26483917236328,47,15792,336.0,-129062.93791474469,15691
143597072.0,0.0003,321979.53125,22,-129.7726593017578,704,104.26303100585938,48,16128,336.0,-129078.68859327084,16027
184153568.0,0.0003,296527.1875,22,-133.64309692382812,721,115.31937408447266,49,16464,336.0,-129097.72254587755,16363
528771488.0,0.0003,316214.34375,22,-135.7227783203125,736,127.54931640625,50,16800,336.0,-129102.2859138,16699
594594560.0,0.0003,315174.375,22,-138.69625854492188,752,141.0745391845703,51,17136,336.0,-129118.72398307842,17035
153814656.0,0.0003,319096.03125,22,-142.39427185058594,768,156.03306579589844,52,17472,336.0,-129123.55904892307,17371
193490256.0,0.0003,330461.96875,22,-144.61021423339844,784,172.5811309814453,53,17808,336.0,-129129.6674712264,17707
611514816.0,0.0003,329081.65625,22,-148.37620544433594,799,190.88121032714844,54,18144,336.0,-129145.3349147037,18043
262630272.0,0.0003,348164.9375,22,-150.08006286621094,816,211.12811279296875,55,18480,336.0,-129148.54961001818,18379
138394704.0,0.0003,335884.53125,22,-153.86276245117188,833,233.5194091796875,56,18816,336.0,-129162.41049878571,18715
1310067200.0,0.0003,340227.125,22,-155.24566650390625,849,258.29229736328125,57,19152,336.0,-129166.48428714035,19051
