time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
24864,74,336.0,2353,5598.276842594594,10,214907751.30952382,0.001,-29768.950148809523,24528
25200,75,336.0,2382,5600.16453064,10,176732086.7142857,0.001,-28671.823172433036,24864
25536,76,336.0,2413,5628.476937934211,10,146654478.04761904,0.001,-27573.64338030134,25200
25872,77,336.0,2441,5645.124942415584,10,120892110.67857143,0.001,-26811.28256370908,25536
26208,78,336.0,2469,5674.428088961538,10,103383368.71428572,0.001,-26495.383975074405,25872
26544,79,336.0,2495,5762.410810696203,10,126557725.04761904,0.001,-25140.72732979911,26208
26880,80,336.0,2522,5750.0544470125,10,95435152.60714285,0.001,-24390.31320917039,26544
27216,81,336.0,2550,5750.524546259259,10,83044281.6904762,0.001,-23823.316301618303,26880
27552,82,336.0,2581,5760.136379231707,10,69559601.14285715,0.001,-23613.597260974704,27216
27888,83,336.0,2611,5756.8674276144575,10,87507670.17857143,0.001,-23181.794526599704,27552
28224,84,336.0,2642,5775.815907595238,10,60249980.71428572,0.001,-22390.50218563988,27888
28560,85,336.0,2670,5821.911663505883,10,55646595.99404762,0.001,-21815.673537481398,28224
28896,86,336.0,2703,5815.215714023257,10,55950028.25,0.001,-20835.195265997023,28560
29232,87,336.0,2741,5828.382239264369,10,49875308.38690476,0.001,-20359.30099051339,28896
29568,88,336.0,2773,5835.470974352273,10,46499577.047619045,0.001,-19673.031918480283,29232
29904,89,336.0,2804,5824.043834573034,10,43496733.33928572,0.001,-19196.042887369793,29568
30240,90,336.0,2835,5816.003428433333,10,35723922.02380952,0.001,-18910.821126302082,29904
30576,91,336.0,2872,5837.807909736264,10,45440819.5,0.001,-17140.889090401786,30240
30912,92,336.0,2905,5823.582600760869,10,39974249.85714286,0.001,-16965.028831845237,30576
31248,93,336.0,2935,5833.937003172043,10,34413797.690476194,0.001,-16574.09576125372,30912
31584,94,336.0,2967,5834.5395997765945,10,30583010.336309522,0.001,-16138.339832124257,31248
31920,95,336.0,2999,5848.047190757894,10,41430900.0297619,0.001,-15536.502673921132,31584
32256,96,336.0,3028,5876.427626354166,10,28287946.80654762,0.001,-15122.987996419271,31920
32592,97,336.0,3059,5892.920028938143,10,26220599.66964286,0.001,-14683.643432617188,32256
32928,98,336.0,3090,5950.5387787857135,10,23239569.17261905,0.001,-14337.690005347842,32592
33264,99,336.0,3120,5956.05993660606,10,23066958.39285714,0.001,-14110.524230957031,32928
33600,100,336.0,3150,5942.803429759999,10,18851741.05357143,0.001,-13807.997395833334,33264
33936,101,336.0,3178,6633.122379329999,10,17043818.05059524,0.001,-13456.409941173735,33600
34272,102,336.0,3211,6638.97451059,10,16798169.904761903,0.001,-13311.456990559896,33936
34608,103,336.0,3240,6709.016903639999,10,15058057.751488095,0.001,-12937.25163341704,34272
34944,104,336.0,3271,6735.713259040001,10,12562155.0,0.001,-12859.152622767857,34608
35280,105,336.0,3302,6761.5697817499995,10,10793218.171130951,0.001,-12734.689290364584,34944
35616,106,336.0,3329,6778.925140099999,10,9326121.605654761,0.001,-12590.25813220796,35280
35952,107,336.0,3360,6818.63026699,10,11976046.714285715,0.001,-12237.51869419643,35616
36288,108,336.0,3391,6772.002049550001,10,11148991.47172619,0.001,-11778.980489095053,35952
