time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20191218:0110,0.0,0.0,0.0,0.0,0.0,0.9,1.86,0.0
20191218:0210,0.0,0.0,0.0,0.0,0.0,0.96,1.86,0.0
20191218:0310,0.0,0.0,0.0,0.0,0.0,1.04,1.79,0.0
20191218:0410,0.0,0.0,0.0,0.0,0.0,1.01,1.79,0.0
20191218:0510,0.0,0.0,0.0,0.0,0.0,0.92,1.79,0.0
20191218:0610,0.0,0.0,0.0,0.0,0.0,0.99,1.79,0.0
20191218:0710,38265000.0,329.19,106.79,2.95,10.35,1.29,1.79,0.0
20191218:0810,59315000.0,573.46,122.31,5.61,17.14,4.74,1.38,0.0
20191218:0910,67349000.0,679.39,137.54,7.32,21.8,8.57,1.24,0.0
20191218:1010,70376000.0,733.7,134.79,8.13,23.85,10.51,1.17,0.0
20191218:1110,66879000.0,695.1,131.47,7.83,23.04,11.74,1.1,0.0
20191218:1210,54481000.0,519.72,143.6,6.26,19.48,12.21,1.03,0.0
20191218:1310,42401000.0,417.44,95.48,4.26,13.56,11.8,1.03,0.0
20191218:1410,11493000.0,97.58,55.32,1.21,5.8,9.96,1.03,0.0
20191218:1510,0.0,0.0,0.0,0.0,0.0,8.97,1.1,0.0
20191218:1610,0.0,0.0,0.0,0.0,0.0,7.84,1.24,0.0
20191218:1710,0.0,0.0,0.0,0.0,0.0,6.4,1.45,0.0
20191218:1810,0.0,0.0,0.0,0.0,0.0,5.09,1.45,0.0
20191218:1910,0.0,0.0,0.0,0.0,0.0,3.13,1.52,0.0
20191218:2010,0.0,0.0,0.0,0.0,0.0,2.8,1.52,0.0
20191218:2110,0.0,0.0,0.0,0.0,0.0,2.42,1.59,0.0
20191218:2210,0.0,0.0,0.0,0.0,0.0,1.87,1.66,0.0
20191218:2310,0.0,0.0,0.0,0.0,0.0,1.46,1.66,0.0
20191219:0010,0.0,0.0,0.0,0.0,0.0,1.1,1.66,0.0
20191219:0110,0.0,0.0,0.0,0.0,0.0,1.01,1.59,0.0
20191219:0210,0.0,0.0,0.0,0.0,0.0,1.2,1.52,0.0
20191219:0310,0.0,0.0,0.0,0.0,0.0,1.39,1.52,0.0
20191219:0410,0.0,0.0,0.0,0.0,0.0,1.54,1.45,0.0
20191219:0510,0.0,0.0,0.0,0.0,0.0,1.62,1.45,0.0
20191219:0610,0.0,0.0,0.0,0.0,0.0,1.54,1.38,0.0
20191219:0710,32750000.0,262.72,111.42,2.74,10.27,0.85,1.31,0.0
20191219:0810,23468000.0,117.52,156.73,3.62,17.07,4.16,0.97,0.0
20191219:0910,58440000.0,515.37,187.57,6.73,21.75,8.03,0.76,0.0
20191219:1010,57059000.0,483.91,211.18,7.17,23.82,10.38,0.62,0.0
20191219:1110,53171000.0,438.98,207.28,6.82,23.03,11.1,0.62,0.0
20191219:1210,47014000.0,392.14,174.88,5.76,19.49,11.15,0.69,0.0
20191219:1310,26858000.0,192.41,130.82,3.41,13.59,10.42,0.9,0.0
20191219:1410,5859000.0,38.87,45.98,0.98,5.85,8.87,1.17,0.0
20191219:1510,0.0,0.0,0.0,0.0,0.0,6.55,1.38,0.0
