rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/loss,train/learning_rate,train/approx_kl,train/clip_range,train/entropy_loss,train/std
-4787.6097571,336.0,40960,20,17,2275,1111655.798046875,0.062890625,-0.00770890226267511,190,0.010640323162078857,524816.5625,0.0003,0.0067197597,0.2,-3.9084097132086755,0.8931562900543213
-1289.8618127399998,336.0,43008,21,17,2400,1276398.32265625,0.012890625,-0.003755493108474184,200,0.009664475917816162,610428.8125,0.0003,0.0042408425,0.2,-3.895458149164915,0.8887884020805359
2014.3171330100004,336.0,45056,22,17,2512,1146955.237890625,0.039208984375,-0.005206026995438151,210,0.006312429904937744,463536.9375,0.0003,0.005797981,0.2,-3.876172499358654,0.8832339644432068
4196.555912940001,336.0,47104,23,17,2622,1636012.5359375,0.033203125,-0.005441447594785131,220,0.005349338054656982,743409.1875,0.0003,0.005107479,0.2,-3.8601947002112866,0.8797139525413513
6684.671472160001,336.0,49152,24,17,2734,1141812.3759765625,0.042041015625,-0.005986905594909331,230,0.004853248596191406,579007.75,0.0003,0.005974774,0.2,-3.8438898392021654,0.8748021125793457
8420.925870519999,336.0,51200,25,17,2847,1016278.9767578125,0.058740234375,-0.0068619040364865215,240,0.004203915596008301,519438.25,0.0003,0.007019952,0.2,-3.825078132003546,0.8694024682044983
9675.43815417,336.0,53248,26,18,2956,1705995.861328125,0.044384765625,-0.0068464614545518995,250,0.003982424736022949,914974.0,0.0003,0.0052926433,0.2,-3.8098993502557277,0.8668567538261414
11402.559452620002,336.0,55296,27,18,3064,1368549.6935546875,0.05517578125,-0.0057557575652026575,260,0.0017194151878356934,687687.25,0.0003,0.0065834573,0.2,-3.7959983542561533,0.8624389171600342
12382.169030169998,336.0,57344,28,18,3175,2250232.0078125,0.053662109375,-0.007355340362119022,270,0.0019326210021972656,1180962.0,0.0003,0.0060614655,0.2,-3.7658928550779818,0.8492795825004578
12940.125110799998,336.0,59392,29,18,3285,1811882.90625,0.06015625,-0.004732031169987749,280,0.00163346529006958,754395.3125,0.0003,0.008664183,0.2,-3.732788325846195,0.8434485793113708
13484.90845334,336.0,61440,30,18,3393,1397458.2560546875,0.0466796875,-0.005361887947947253,290,0.0007935166358947754,783722.6875,0.0003,0.0054416186,0.2,-3.704927799850702,0.8349149227142334
14477.895121130001,336.0,63488,31,18,3508,1391413.8380859375,0.046875,-0.004858143854653463,300,0.000972449779510498,572000.25,0.0003,0.0065024807,0.2,-3.6826679594814777,0.8303249478340149
15829.041331030003,336.0,65536,32,18,3619,1887514.052734375,0.0341796875,-0.005245412748627132,310,0.0012320876121520996,1013671.625,0.0003,0.0064995326,0.2,-3.6647311210632325,0.8245725035667419
16545.633618679996,336.0,67584,33,18,3731,2490396.4296875,0.041650390625,-0.005361354889464565,320,0.0012875795364379883,1468661.875,0.0003,0.006866955,0.2,-3.647691462188959,0.8208033442497253
16375.026322979997,336.0,69632,34,18,3840,1474182.5005859374,0.025927734375,-0.002966507239034399,330,0.0005553364753723145,731739.4375,0.0003,0.005676413,0.2,-3.6349299967288973,0.8180020451545715
