time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,train/std,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/entropy_loss,train/loss
2628,59392,336.0,29,10635.56952618,22,0.900246798992157,280,-0.007413193095999304,0.0059943413,1529555.605078125,0.041015625,0.2,0.0003,0.06004530191421509,-3.9553096957504748,609056.875
2720,61440,336.0,30,11759.657825789996,22,0.8966396450996399,290,-0.00934662264189683,0.006775531,1724481.98359375,0.064404296875,0.2,0.0003,0.0506824254989624,-3.9325161702930926,662327.625
2812,63488,336.0,31,12767.69805049,22,0.8893764019012451,300,-0.007328883264563046,0.0059958957,1871184.534375,0.039794921875,0.2,0.0003,0.033119142055511475,-3.9140978887677194,1162141.375
2902,65536,336.0,32,13727.461223660002,22,0.8867673277854919,310,-0.005653811930096708,0.0056745405,1974980.9734375,0.035009765625,0.2,0.0003,0.02525383234024048,-3.8968026861548424,1151686.0
2992,67584,336.0,33,14721.6465304,22,0.8847412467002869,320,-0.004326702925027348,0.004661997,1987284.990234375,0.02412109375,0.2,0.0003,0.018672406673431396,-3.889483244717121,975177.4375
3080,69632,336.0,34,15589.543115110002,22,0.8845264315605164,330,-0.005828467854007613,0.0053073876,1937689.462890625,0.03037109375,0.2,0.0003,0.008176684379577637,-3.8859564758837224,623676.3125
3169,71680,336.0,35,16611.48230272,22,0.8862313628196716,340,-0.008156509722175543,0.00618001,1988742.4796875,0.03876953125,0.2,0.0003,0.004796385765075684,-3.887214619666338,741513.8125
3260,73728,336.0,36,17554.726323569997,22,0.8856896758079529,350,-0.007985979440854862,0.006431971,2347362.578515625,0.053173828125,0.2,0.0003,0.0020799636840820312,-3.8894380487501623,1169845.625
3350,75776,336.0,37,18483.433078770002,22,0.8796562552452087,360,-0.008740541065344587,0.006836141,2135413.489453125,0.059423828125,0.2,0.0003,0.0005224347114562988,-3.8777245357632637,1017895.0
3439,77824,336.0,38,19473.98648844,22,0.8756248950958252,370,-0.007637114894168917,0.0060149385,2154950.8359375,0.048388671875,0.2,0.0003,0.003165602684020996,-3.8608125761151313,1219173.0
3526,79872,336.0,39,20315.310983550004,22,0.876732349395752,380,-0.006884145889489446,0.006022522,2372356.87265625,0.039599609375,0.2,0.0003,0.001124739646911621,-3.855304206907749,1027800.3125
3612,81920,336.0,40,21329.712270160002,22,0.8781552314758301,390,-0.004993493937945459,0.0043338565,2292338.0875,0.022216796875,0.2,0.0003,0.00044977664947509766,-3.8587027229368687,896674.6875
3697,83968,336.0,41,22078.81398988,22,0.8767310976982117,400,-0.0062252304807770996,0.0061526224,2425078.048828125,0.045068359375,0.2,0.0003,0.0005115270614624023,-3.859261203557253,1399859.5
3782,86016,336.0,42,23112.692252649995,22,0.8725734353065491,410,-0.0061479760319343765,0.0060094506,2533266.015625,0.049072265625,0.2,0.0003,0.00203704833984375,-3.8490827225148676,1100841.125
3870,88064,336.0,43,23909.725098300005,22,0.8697442412376404,420,-0.006683222031279001,0.0054116566,2612374.286328125,0.037841796875,0.2,0.0003,0.0002651214599609375,-3.8365158177912235,1271302.125
3958,90112,336.0,44,24730.571824900002,22,0.867321789264679,430,-0.004539264613413252,0.004110055,2663048.4453125,0.02353515625,0.2,0.0003,9.679794311523438e-05,-3.8270915664732454,1457906.0
4044,92160,336.0,45,25429.4115623,22,0.8614926338195801,440,-0.003735937169403769,0.005199766,2685884.82265625,0.0322265625,0.2,0.0003,0.0002999305725097656,-3.81235084310174,1135329.125
