rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss
336.0,11,70,2038,-64412.23103838573,23520,17476.23092796689,23184,0.001,3797932.0751488097
336.0,11,71,2068,-63387.21990332397,23856,17276.47065080915,23520,0.001,3774788.4090401786
336.0,11,72,2097,-62393.068271402786,24192,17111.08861142113,23856,0.001,3643100.0673363097
336.0,11,73,2126,-61415.82916247946,24528,17002.56029982794,24192,0.001,4261687.997395833
336.0,11,74,2155,-60454.68573805405,24864,16749.29180326916,24528,0.001,4226996.670386905
336.0,11,75,2185,-59551.37467185334,25200,16530.003141857327,24864,0.001,3904791.3694196427
336.0,11,76,2214,-58664.28941927632,25536,16494.963890438987,25200,0.001,4094313.4631696427
336.0,11,77,2244,-57802.592726974035,25872,16369.747413271949,25536,0.001,4130709.1904761903
336.0,11,78,2273,-56971.26019576924,26208,16192.81322951544,25872,0.001,3799706.0204613097
336.0,11,79,2303,-56151.46715903799,26544,15925.99208577474,26208,0.001,4290656.258556548
336.0,11,80,2332,-55390.45412386251,26880,15713.732950846354,26544,0.001,3780040.390625
336.0,11,81,2361,-54578.406119851854,27216,15558.69784109933,26880,0.001,3660396.0794270835
336.0,11,82,2390,-53823.39574297562,27552,15466.478806268602,27216,0.001,3542912.8718377976
336.0,11,83,2420,-53045.55090150603,27888,15331.748508998326,27552,0.001,3588664.9466145835
336.0,11,84,2449,-52331.91606878572,28224,15225.114740280878,27888,0.001,4009092.16796875
336.0,11,85,2478,-51612.03245952942,28560,15034.369175502232,28224,0.001,3239871.9289434524
336.0,11,86,2507,-51006.1957664535,28896,14810.101425897508,28560,0.001,3662650.566034226
336.0,11,87,2538,-50330.11288385059,29232,14748.789588564918,28896,0.001,3694406.5187872024
336.0,11,88,2567,-49687.009558931815,29568,14655.324483235678,29232,0.001,3680476.648809524
336.0,11,89,2597,-49037.388617696626,29904,14392.603198823475,29568,0.001,3359284.691034226
336.0,11,90,2626,-48442.35714314444,30240,14296.261416480655,29904,0.001,3844976.1906622024
336.0,11,91,2655,-47824.33108274726,30576,14272.33921595982,30240,0.001,3368130.980096726
336.0,11,92,2684,-47243.59826709783,30912,14037.099466959635,30576,0.001,3303335.3156622024
336.0,11,93,2714,-46655.465182268825,31248,13907.126950218564,30912,0.001,3583482.55078125
336.0,11,94,2743,-46067.24428375532,31584,13819.67669968378,31248,0.001,3521527.441499256
336.0,11,95,2773,-45492.42112955789,31920,13582.442717052641,31584,0.001,3170300.511346726
336.0,11,96,2803,-44943.2532194375,32256,13528.811250232515,31920,0.001,3001140.1588541665
336.0,11,97,2832,-44379.593260453614,32592,13402.06952485584,32256,0.001,3211688.165550595
336.0,11,98,2862,-43817.17163433674,32928,13237.905427478609,32592,0.001,3096881.357328869
336.0,11,99,2892,-43312.312950606065,33264,13167.884451729911,32928,0.001,2943833.6891741073
336.0,11,100,2922,-42748.26123745,33600,12973.371861049107,33264,0.001,3164281.8993675597
336.0,11,101,2951,-42399.60308114999,33936,12933.080534435454,33600,0.001,3399657.9430803573
336.0,11,102,2980,-40953.44031417999,34272,12897.878493536085,33936,0.001,2874955.6155133927
336.0,11,103,3010,-38383.46811136,34608,12574.422770182291,34272,0.001,3484780.590215774
336.0,11,104,3040,-37089.55662722,34944,12462.712193080357,34608,0.001,3387050.5485491073
336.0,11,105,3069,-35303.04864443,35280,12305.480088006883,34944,0.001,2730626.105840774
336.0,11,106,3099,-34057.848178099994,35616,12231.241330101377,35280,0.001,2768950.701264881
336.0,11,107,3129,-33084.79250274,35952,12045.411004929316,35616,0.001,2980790.6389508927
336.0,11,108,3159,-31595.43808684999,36288,11962.055287679037,35952,0.001,2891319.986514137
336.0,11,109,3189,-30174.469064869998,36624,11942.070678710938,36288,0.001,2941221.4109002976
336.0,11,110,3218,-29443.457694120003,36960,11884.211361839658,36624,0.001,2661407.46828497
336.0,11,111,3248,-28089.124195100005,37296,11598.185115269252,36960,0.001,2813198.2258184524
336.0,11,112,3278,-25612.115532139997,37632,11665.810562860399,37296,0.001,2742094.7414434524
336.0,11,113,3307,-24968.236627699996,37968,11519.870538620722,37632,0.001,2848509.931175595
336.0,11,114,3336,-23562.922603130002,38304,11414.846341087705,37968,0.001,3119880.476934524
336.0,11,115,3366,-22560.39093003,38640,11249.779817127046,38304,0.001,2860506.795014881
336.0,11,116,3396,-21861.824849509998,38976,11193.529336111886,38640,0.001,2653057.482979911
336.0,11,117,3426,-20906.59794948,39312,11051.804239908854,38976,0.001,2831865.956659226
336.0,11,118,3455,-17741.001764359997,39648,11005.09392583938,39312,0.001,3025192.114676339
336.0,11,119,3485,-16524.080233700002,39984,10731.812597365606,39648,0.001,2541928.911644345
336.0,11,120,3515,-15752.394217319998,40320,10715.445374988374,39984,0.001,2831963.2180059524
336.0,11,121,3544,-15222.90505494,40656,10746.86939493815,40320,0.001,2675355.2447916665
336.0,11,122,3573,-12663.78898236,40992,10598.209952218192,40656,0.001,3004747.5890997024
336.0,11,123,3603,-12658.185244999999,41328,10476.325083414713,40992,0.001,2463427.831473214
336.0,11,124,3633,-11499.337918169997,41664,10196.789100283668,41328,0.001,2291062.567801339
336.0,11,125,3663,-9994.42411625,42000,10111.129044305711,41664,0.001,2794773.6085379464
336.0,11,126,3692,-9194.18528649,42336,10081.542641775948,42000,0.001,2617568.7526971726
336.0,11,127,3721,-9539.820649279998,42672,10037.211358933222,42336,0.001,2831565.5139508927
336.0,11,128,3751,-8515.999355969998,43008,9902.931781587147,42672,0.001,2552491.060360863
336.0,11,129,3781,-7624.2638950599985,43344,9812.514014834449,43008,0.001,2580879.6741071427
336.0,11,130,3811,-6758.760408859999,43680,9630.43223935082,43344,0.001,2885842.0163690476
336.0,11,131,3842,-5850.59392832,44016,9720.07542056129,43680,0.001,2611017.864862351
336.0,11,132,3872,-4615.5590368699995,44352,9650.924602690196,44016,0.001,2465340.6399739585
336.0,11,133,3901,-3566.0134393699996,44688,9560.736004057384,44352,0.001,2449968.6457403274
336.0,11,134,3931,-796.9837772099999,45024,9436.087849934896,44688,0.001,2899603.570126488
336.0,11,135,3960,-359.8441533799999,45360,9389.041909354073,45024,0.001,2213962.4075520835
336.0,11,136,3991,2627.62035766,45696,9383.940078008742,45360,0.001,2393049.736421131
336.0,11,137,4020,3546.817881069999,46032,9163.841839018321,45696,0.001,2379841.710751488
336.0,11,138,4049,5613.03780444,46368,9229.646722702753,46032,0.001,2662403.0715215774
336.0,11,139,4078,6420.370910989998,46704,9095.690585181826,46368,0.001,2753910.750093006
336.0,11,140,4110,6273.187157419998,47040,8825.083199637276,46704,0.001,2253431.570684524
336.0,11,141,4141,6129.092499939999,47376,8836.338390531993,47040,0.001,2267641.5380394347
336.0,11,142,4170,5976.32588408,47712,8752.33637491862,47376,0.001,2447567.468563988
336.0,11,143,4199,5818.59396383,48048,8627.728072393507,47712,0.001,2172490.285528274
336.0,11,144,4229,5636.577484189999,48384,8677.6640625,48048,0.001,2367979.5462239585
336.0,11,145,4258,5470.148741779999,48720,8592.425404866537,48384,0.001,2364018.564360119
336.0,11,146,4287,5297.257241529999,49056,8334.893862769717,48720,0.001,2359025.0653831847
336.0,11,147,4316,5088.194390470001,49392,8205.023354666573,49056,0.001,2521178.0108816964
336.0,11,148,4346,4998.14789155,49728,7972.275782993862,49392,0.001,2732920.6650855653
336.0,11,149,4376,4760.79337587,50064,7799.300512404669,49728,0.001,2192693.876627604
336.0,11,150,4406,4608.55414906,50400,7552.502463931129,50064,0.001,2574109.256324405
336.0,11,151,4435,4409.7781978,50736,7366.178678966704,50400,0.001,2609460.4619605653
336.0,11,152,4465,4263.45714508,51072,7386.173785981678,50736,0.001,2114024.4775855653
336.0,11,153,4494,4080.14804828,51408,7220.108082362583,51072,0.001,2211292.947172619
336.0,11,154,4524,3887.7368165899993,51744,7401.810982840402,51408,0.001,2110544.4658203125
336.0,11,155,4553,3748.1111464699993,52080,7303.284652709961,51744,0.001,2272671.636904762
336.0,11,156,4584,3518.4727635,52416,7233.623206002371,52080,0.001,2329341.5109747024
336.0,11,157,4613,3284.6380179600005,52752,7067.931597755069,52416,0.001,2304326.060407366
336.0,11,158,4642,3155.7584408899997,53088,7150.109614780971,52752,0.001,1909785.5495721726
336.0,11,159,4672,3014.4378810100006,53424,7049.3842213948565,53088,0.001,2068937.6533203125
336.0,11,160,4702,2848.5268895200006,53760,7010.913081577846,53424,0.001,2182601.131231399
336.0,11,161,4731,2653.7584778100004,54096,7133.987159365699,53760,0.001,1726440.2749255951
336.0,11,162,4760,2475.80551406,54432,7024.678211757115,54096,0.001,2402728.67140997
336.0,11,163,4789,2310.5815394799997,54768,6915.058372134254,54432,0.001,1866411.4851190476
336.0,11,164,4819,2129.6045907899997,55104,6946.124377296084,54768,0.001,2144536.093843006
336.0,11,165,4849,1952.80790121,55440,6916.08801414853,55104,0.001,2075262.2555338542
336.0,11,166,4878,1820.32137452,55776,6796.034011114211,55440,0.001,2152969.299293155
336.0,11,167,4907,1645.19432428,56112,6702.238167172387,55776,0.001,1905717.986142113
336.0,11,168,4937,1465.61044371,56448,6797.994775681269,56112,0.001,1917869.892299107
336.0,11,169,4967,1339.5986872799997,56784,6724.59952944801,56448,0.001,1896709.4852585564
336.0,11,170,4996,1159.5421381799997,57120,6659.49199858166,56784,0.001,1890426.148390997
336.0,11,171,5025,973.2175152299997,57456,6673.390625726609,57120,0.001,1969730.1981026786
336.0,11,172,5057,831.33668681,57792,6724.262941632952,57456,0.001,1854113.2585565476
336.0,11,173,5091,683.65448454,58128,6637.916995820545,57792,0.001,2057252.6924293155
336.0,11,174,5122,521.9306176400002,58464,6576.591369628906,58128,0.001,1830631.8703497024
336.0,11,175,5151,335.4105337800001,58800,6598.805467878069,58464,0.001,1792421.8971354167
336.0,11,176,5181,151.54252470000006,59136,6560.088918776739,58800,0.001,1712892.861514137
336.0,11,177,5211,41.75474992000003,59472,6595.270121256511,59136,0.001,1924697.6790364583
336.0,11,178,5241,-121.28268507999998,59808,6521.156433832078,59472,0.001,1957220.226469494
336.0,11,179,5270,-301.49195221,60144,6438.587714785621,59808,0.001,1691870.8531436012
336.0,11,180,5301,-467.29414472999997,60480,6517.511364891416,60144,0.001,2248211.6079334076
336.0,11,181,5330,-655.7604589000001,60816,6337.179617018926,60480,0.001,1966631.6060267857
336.0,11,182,5359,-746.7167684,61152,6425.224360148112,60816,0.001,1722850.8880208333
336.0,11,183,5388,-894.55790861,61488,6295.757952735537,61152,0.001,1699266.363467262
336.0,11,184,5418,-1018.17933519,61824,6356.495577130999,61488,0.001,1926219.6253720238
336.0,11,185,5448,-1222.89232737,62160,6423.274286905925,61824,0.001,1998447.923735119
336.0,11,186,5477,-1237.9455200299997,62496,6332.731353033157,62160,0.001,2115623.1804315476
336.0,11,187,5506,-1333.7075318900002,62832,6200.183462960379,62496,0.001,1719292.570405506
336.0,11,188,5536,-1500.9820269000002,63168,6163.301855904715,62832,0.001,1943242.4640531994
336.0,11,189,5566,-1666.9098672700002,63504,6074.778618222192,63168,0.001,1488119.974795387
336.0,11,190,5596,-1816.84606794,63840,6179.475503104074,63504,0.001,1642333.2570219494
336.0,11,191,5626,-2029.8608868300005,64176,6082.658791678293,63840,0.001,2057936.1192801339
336.0,11,192,5657,-2151.8524897800003,64512,6072.655139741443,64176,0.001,1717063.265671503
336.0,11,193,5686,-2342.80726876,64848,6056.331311180478,64512,0.001,1855336.3870907738
336.0,11,194,5716,-2452.6029151400003,65184,5905.614931379046,64848,0.001,1365379.519252232
336.0,11,195,5746,-2570.763874,65520,5879.538390386672,65184,0.001,1679770.922107515
336.0,11,196,5776,-2704.73414893,65856,5881.251650855655,65520,0.001,1491112.8426339286
336.0,11,197,5806,-2840.699001980001,66192,5802.640902564639,65856,0.001,1318874.046595982
336.0,11,198,5836,-3028.5155765300005,66528,5990.843146187918,66192,0.001,1469849.226329985
336.0,11,199,5865,-3215.0692786300006,66864,5720.823109218052,66528,0.001,1456058.7621372768
336.0,11,200,5895,-3415.50985323,67200,5870.528384980701,66864,0.001,1691875.9738188244
336.0,11,201,5925,-3589.4055767500004,67536,5803.00337437221,67200,0.001,1671459.0057198661
336.0,11,202,5954,-3690.97561607,67872,5802.53220476423,67536,0.001,1560817.1851515998
336.0,11,203,5983,-3776.72885897,68208,5669.85978335426,67872,0.001,1856462.65062314
336.0,11,204,6012,-3952.19274331,68544,5563.581712268648,68208,0.001,1756527.3892066593
336.0,11,205,6042,-4107.7305120500005,68880,5645.538341703869,68544,0.001,1633158.3425176712
336.0,11,206,6072,-4298.11409461,69216,5561.47414289202,68880,0.001,1410920.208705357
336.0,11,207,6102,-4476.991619050001,69552,5552.320695786249,69216,0.001,1483445.5502929688
336.0,11,208,6131,-4615.409463510001,69888,5437.856618972051,69552,0.001,1861722.2709263393
336.0,11,209,6161,-4710.639679100001,70224,5519.034224737258,69888,0.001,1424389.548735119
336.0,11,210,6190,-4729.4206608800005,70560,5633.561154320127,70224,0.001,1664130.746140253
336.0,11,211,6219,-4913.605530430001,70896,5623.451784406389,70560,0.001,1611100.6339285714
336.0,11,212,6249,-5065.49381022,71232,5476.671983264741,70896,0.001,1670677.4469633556
336.0,11,213,6279,-5286.947374230001,71568,5472.449967157273,71232,0.001,1818452.7674386161
336.0,11,214,6308,-5442.5784506,71904,5506.9656815301805,71568,0.001,1677654.3939267113
336.0,11,215,6338,-5597.737746549999,72240,5402.085152762277,71904,0.001,1584707.6233723958
336.0,11,216,6368,-5780.750415189999,72576,5347.438318888347,72240,0.001,1353169.1388113839
336.0,11,217,6397,-5875.029416250001,72912,5390.430549984887,72576,0.001,1235574.6040504093
336.0,11,218,6427,-6060.824420950001,73248,5363.072578066871,72912,0.001,1445401.650297619
336.0,11,219,6456,-6259.7059546400005,73584,5230.788782028925,73248,0.001,1467511.2232607887
336.0,11,220,6486,-6428.408920789999,73920,5293.797141665504,73584,0.001,1449289.348795573
336.0,11,221,6516,-6579.400583909999,74256,5361.819901965913,73920,0.001,1325524.1260230655
336.0,11,222,6546,-6734.568046830001,74592,5326.743551345098,74256,0.001,1248005.618954613
336.0,11,223,6575,-6911.180049130002,74928,5267.697317940848,74592,0.001,1416014.2466285343
336.0,11,224,6604,-7068.834224629999,75264,5149.368977864583,74928,0.001,1827076.4902111236
336.0,11,225,6634,-7242.782809149999,75600,5133.035384405227,75264,0.001,1332073.9535202752
336.0,11,226,6663,-7438.23747053,75936,5138.511984688895,75600,0.001,1583572.0667782738
336.0,11,227,6693,-7616.217701330001,76272,5123.66132173084,75936,0.001,1641143.1948242188
336.0,11,228,6722,-7720.3489005500005,76608,5049.648367745535,76272,0.001,1461738.2881324405
336.0,11,229,6753,-7951.251464030001,76944,5091.113183521089,76608,0.001,1575746.2808430989
336.0,11,230,6782,-7962.104078640001,77280,4991.344631376721,76944,0.001,1111913.2784598214
336.0,11,231,6812,-8006.16096044,77616,4961.358109973726,77280,0.001,1480640.6284877232
336.0,11,232,6842,-8061.424686199999,77952,5019.165881565639,77616,0.001,1192078.1643647694
336.0,11,233,6873,-8109.465460469999,78288,4871.980666387649,77952,0.001,1466132.4059244792
336.0,11,234,6902,-8101.291905159999,78624,4785.356365022205,78288,0.001,1524150.9766322544
336.0,11,235,6931,-8062.43171914,78960,4801.729494730632,78624,0.001,1591559.25453404
336.0,11,236,6960,-8032.77356022,79296,4774.260469709124,78960,0.001,1375069.7549293155
336.0,11,237,6990,-8059.12273558,79632,4742.1768631708055,79296,0.001,1088055.0972609748
336.0,11,238,7020,-8051.564131039999,79968,4692.621255783808,79632,0.001,1691728.1842680431
336.0,11,239,7050,-7984.951042519999,80304,4825.3363850911455,79968,0.001,1286119.5612444195
336.0,11,240,7079,-7890.783898029999,80640,4752.75314512707,80304,0.001,1090841.5472935268
336.0,11,241,7109,-7851.872282079999,80976,4709.320668901716,80640,0.001,1319286.4956287201
336.0,11,242,7139,-7858.84549373,81312,4613.162002563477,80976,0.001,1289303.245279948
336.0,11,243,7168,-7804.03509286,81648,4666.300632658459,81312,0.001,1372016.1031436012
336.0,11,244,7197,-7863.97312914,81984,4577.335996355329,81648,0.001,1511715.6849888393
336.0,11,245,7227,-7787.831217,82320,4741.974187215169,81984,0.001,1320133.1605747768
336.0,11,246,7256,-7800.366494030001,82656,4684.948051089332,82320,0.001,1305456.5305059524
336.0,11,247,7285,-7788.338748530002,82992,4601.600051879883,82656,0.001,1279710.7668108258
336.0,11,248,7315,-7770.400145750002,83328,4562.655501956031,82992,0.001,1248299.925827753
336.0,11,249,7345,-7709.68302609,83664,4530.556112743559,83328,0.001,1872325.956124442
336.0,11,250,7375,-7721.096208779999,84000,4450.670935131255,83664,0.001,1310892.9462425595
336.0,11,251,7404,-7698.1137575699995,84336,4474.097842261905,84000,0.001,1136823.2044038319
336.0,11,252,7433,-7688.854007949999,84672,4604.699580601284,84336,0.001,1337097.0085565476
336.0,11,253,7465,-7648.07227659,85008,4486.211215791248,84672,0.001,1275655.6952078682
336.0,11,254,7494,-7627.934131180002,85344,4499.460190545945,85008,0.001,1245284.5316917782
336.0,11,255,7524,-7696.942374510001,85680,4550.850157238188,85344,0.001,1356031.2328636532
336.0,11,256,7553,-7667.856007010001,86016,4436.023953755696,85680,0.001,1232070.0504557292
336.0,11,257,7584,-7676.467984260001,86352,4403.302753630139,86016,0.001,1366477.9903041294
336.0,11,258,7613,-7652.6354467500005,86688,4382.237533206031,86352,0.001,1019776.1277785528
336.0,11,259,7643,-7660.778040529999,87024,4469.364279247466,86688,0.001,1077673.3667457218
336.0,11,260,7673,-7671.90376059,87360,4414.465997241792,87024,0.001,1120306.5395972843
336.0,11,261,7704,-7616.707904930001,87696,4418.2981516520185,87360,0.001,1307315.4853515625
336.0,11,262,7736,-7657.36228248,88032,4432.242473057338,87696,0.001,1188869.47265625
336.0,11,263,7766,-7688.08885535,88368,4290.062840779622,88032,0.001,1231200.2999093193
336.0,11,264,7795,-7704.264644929999,88704,4367.465141659692,88368,0.001,1187507.7834588913
336.0,11,265,7826,-7649.742522060001,89040,4279.198063441685,88704,0.001,1209313.3450985863
336.0,11,266,7855,-7675.373204630001,89376,4365.438107081822,89040,0.001,1160207.165969122
336.0,11,267,7884,-7646.34491081,89712,4268.0520924159455,89376,0.001,1196770.226329985
336.0,11,268,7914,-7650.88450872,90048,4281.326980954125,89712,0.001,1393110.4568917411
336.0,11,269,7944,-7671.2802392600015,90384,4241.692917596726,90048,0.001,1403067.3881835938
336.0,11,270,7974,-7639.289610230001,90720,4176.688674200149,90384,0.001,1161505.262858073
336.0,11,271,8003,-7557.881401,91056,4111.117148263113,90720,0.001,1170056.118140811
336.0,11,272,8032,-7577.34655661,91392,4203.01311420259,91056,0.001,1247126.3893694195
336.0,11,273,8065,-7660.791775289999,91728,4212.045745486304,91392,0.001,1169966.0742071243
336.0,11,274,8096,-7710.90231933,92064,4118.940337044852,91728,0.001,1052221.5003022694
336.0,11,275,8125,-7670.27692169,92400,4147.768646240234,92064,0.001,1281161.6625976562
336.0,11,276,8155,-7653.332041600001,92736,4154.874778747559,92400,0.001,1093374.2560221355
336.0,11,277,8185,-7698.96331419,93072,4129.256917317708,92736,0.001,1070986.1341494606
336.0,11,278,8214,-7693.886776410001,93408,4113.584592728388,93072,0.001,1324862.810732887
336.0,11,279,8244,-7661.92790366,93744,4074.150420415969,93408,0.001,1452441.7006138393
336.0,11,280,8273,-7643.986335020001,94080,3971.9220690046036,93744,0.001,1486369.6202101936
336.0,11,281,8303,-7634.00085361,94416,4086.8604209536597,94080,0.001,1255116.9746326264
336.0,11,282,8332,-7691.26367856,94752,3957.479526701428,94416,0.001,1212120.9613560268
336.0,11,283,8362,-7727.485696760001,95088,3988.102277483259,94752,0.001,1241181.2701357887
336.0,11,284,8391,-7703.506312299999,95424,3999.810183207194,95088,0.001,1055271.695672898
336.0,11,285,8422,-7643.72372493,95760,3890.1279126121885,95424,0.001,1300340.018391927
336.0,11,286,8451,-7741.487017120001,96096,3872.1012447902135,95760,0.001,1144207.493047805
336.0,11,287,8481,-7734.384027099999,96432,3897.443437848772,96096,0.001,1192981.3442615326
336.0,11,288,8510,-7738.61738593,96768,3865.6231856573195,96432,0.001,947349.0921921503
336.0,11,289,8540,-7667.60379839,97104,3978.411287216913,96768,0.001,1284860.377580915
336.0,11,290,8570,-7655.506605110001,97440,3962.7792619977677,97104,0.001,1173792.5516996838
336.0,11,291,8599,-7592.558813330002,97776,3951.5199712117515,97440,0.001,1193865.0249837239
336.0,11,292,8629,-7581.478741560002,98112,3874.270721435547,97776,0.001,1030197.1970098587
336.0,11,293,8659,-7555.79234331,98448,3820.501668294271,98112,0.001,992750.4613095238
336.0,11,294,8689,-7627.437914370001,98784,3837.3233112153553,98448,0.001,1134369.2586844307
336.0,11,295,8719,-7698.35152078,99120,3862.0576960245767,98784,0.001,1061180.727515811
336.0,11,296,8749,-7685.795037590001,99456,3833.6994345528738,99120,0.001,1168346.2401529949
336.0,11,297,8779,-7722.225411080001,99792,3847.884444827125,99456,0.001,1075316.0199962799
336.0,11,298,8808,-7683.186182490001,100128,3860.7437736874535,99792,0.001,933473.9360351562
