time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/learning_rate,train/loss,train/entropy_loss,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range
208896,26,7905,34121.8365098,336.0,102,0.024560546875,0.0003,1120705.0,-2.9862611681222915,0.6758925318717957,2374017.413671875,1010,0.004872427,0.0,-0.0021745558973634616,0.2
210944,26,7987,33915.20167327,336.0,103,0.04345703125,0.0003,1834242.875,-2.977239029854536,0.6738360524177551,3222948.1625,1020,0.0060582627,1.7881393432617188e-07,-0.005834188034350518,0.2
212992,26,8067,33490.44869308,336.0,104,0.040234375,0.0003,1774245.25,-2.973989360034466,0.6753923892974854,3039211.809375,1030,0.005740152,0.0,-0.0033467928486061284,0.2
215040,26,8146,34486.06856367,336.0,105,0.058642578125,0.0003,1742981.5,-2.9770193457603455,0.6748221516609192,3237486.7015625,1040,0.006433815,5.960464477539063e-08,-0.004440089362469734,0.2
217088,26,8226,34611.26562023,336.0,106,0.0537109375,0.0003,2120885.5,-2.9690555050969123,0.6718427538871765,4217842.6734375,1050,0.0059010293,1.1920928955078125e-07,-0.0050995982936001385,0.2
219136,26,8306,34201.08151418,336.0,107,0.0458984375,0.0003,1418973.125,-2.959218432754278,0.6708313822746277,2967135.1421875,1060,0.0062657613,0.0,-0.005592612527834717,0.2
221184,26,8384,34460.20025468,336.0,108,0.059619140625,0.0003,1329915.5,-2.9487310528755186,0.667910635471344,2736353.44921875,1070,0.007277785,1.1920928955078125e-07,-0.0046035663879592905,0.2
223232,26,8463,35021.057334790006,336.0,109,0.06455078125,0.0003,1825311.75,-2.9357813842594624,0.6636903285980225,3984076.665625,1080,0.0073042726,0.0,-0.007110164762707427,0.2
225280,26,8540,34960.37754098,336.0,110,0.049951171875,0.0003,1642683.75,-2.9277381040155888,0.6644889712333679,3717160.02265625,1090,0.007337448,1.7881393432617188e-07,-0.006626560834411066,0.2
227328,26,8616,34979.008985060005,336.0,111,0.068798828125,0.0003,1536519.75,-2.9271503143012523,0.6648893356323242,3203515.5609375,1100,0.007527828,5.960464477539063e-08,-0.006754116389492993,0.2
229376,26,8694,34723.892912539995,336.0,112,0.06787109375,0.0003,1770901.625,-2.923077915608883,0.6630620956420898,3275503.11015625,1110,0.0077047125,0.0,-0.00676590645161923,0.2
231424,26,8772,34951.31324047001,336.0,113,0.033740234375,0.0003,1702319.375,-2.921955668926239,0.6639054417610168,3162298.00390625,1120,0.003940898,1.7881393432617188e-07,-0.0030932679772377016,0.2
233472,26,8849,34716.672501730005,336.0,114,0.051513671875,0.0003,1831903.25,-2.927721780538559,0.665910542011261,3547170.88828125,1130,0.0061294385,1.1920928955078125e-07,-0.005680329950700979,0.2
235520,26,8927,34833.21092134,336.0,115,0.063623046875,0.0003,1618173.0,-2.9308349817991255,0.6654323935508728,2936836.2125,1140,0.0057461266,1.7881393432617188e-07,-0.005323162087006494,0.2
237568,26,9003,34651.193666130006,336.0,116,0.049267578125,0.0003,1294977.375,-2.9255241103470326,0.6648779511451721,3052195.04765625,1150,0.005739658,-1.1920928955078125e-07,-0.005807498149079038,0.2
239616,26,9080,35087.43619501,336.0,117,0.043115234375,0.0003,1243291.125,-2.9210112281143665,0.6626409888267517,2751639.148046875,1160,0.006957131,5.960464477539063e-08,-0.0044548312507686205,0.2
241664,26,9158,35236.954843520005,336.0,118,0.028369140625,0.0003,1663419.875,-2.9067950308322907,0.6579653024673462,3126351.42734375,1170,0.0042657796,5.960464477539063e-08,-0.0028660642041359098,0.2
243712,26,9237,35706.417262719995,336.0,119,0.036962890625,0.0003,2052575.625,-2.897304915636778,0.6585482358932495,3673195.78984375,1180,0.005651219,-1.1920928955078125e-07,-0.003996004884538706,0.2
245760,26,9316,35959.11088374,336.0,120,0.0228515625,0.0003,1894153.75,-2.900894445925951,0.6593770980834961,4289230.9140625,1190,0.004841839,0.0,-0.002314008057510364,0.2
247808,26,9395,35812.266422349996,336.0,121,0.04716796875,0.0003,1816541.75,-2.904095143824816,0.6600915789604187,3577884.64765625,1200,0.0055469833,5.960464477539063e-08,-0.005700098471425008,0.2
249856,26,9472,35780.39110105,336.0,122,0.041845703125,0.0003,1647150.0,-2.9036387629806995,0.6589633822441101,3051832.62890625,1210,0.006366006,1.7881393432617188e-07,-0.0038691130859660914,0.2
251904,26,9553,35571.65109371001,336.0,123,0.029052734375,0.0003,1321143.125,-2.906923922151327,0.6601585745811462,2835506.9890625,1220,0.0050742854,1.7881393432617188e-07,-0.00392392654903233,0.2
253952,26,9638,35756.47963499,336.0,124,0.05458984375,0.0003,1297650.0,-2.9121619246900083,0.6601772308349609,2722621.0796875,1230,0.006110682,0.0,-0.004457828991871793,0.2
256000,26,9716,35553.61274184,336.0,125,0.062353515625,0.0003,1693669.625,-2.8991040058434008,0.6540712118148804,3656174.96796875,1240,0.006870895,0.0,-0.006004927463072818,0.2
258048,26,9794,35453.22185147001,336.0,126,0.05712890625,0.0003,1434452.25,-2.8797590531408788,0.6505124568939209,3022601.9359375,1250,0.007473513,0.0,-0.006356458929076325,0.2
260096,26,9871,35361.76089482,336.0,127,0.06435546875,0.0003,1462841.0,-2.8630425184965134,0.646518349647522,3188307.215625,1260,0.007843965,0.0,-0.006674237534753047,0.2
262144,26,9963,35283.335298210004,336.0,128,0.051220703125,0.0003,1570465.5,-2.858530569821596,0.6485641598701477,3117032.946875,1270,0.0055371863,5.960464477539063e-08,-0.005686540126043837,0.2
264192,26,10080,35286.51618659,336.0,129,0.04384765625,0.0003,1937420.25,-2.8623082138597966,0.6477947235107422,3623951.21328125,1280,0.0053764377,0.0,-0.003902058883977588,0.2
266240,26,10181,35416.271362750005,336.0,130,0.0322265625,0.0003,1923877.625,-2.865202310681343,0.6499594449996948,3209335.85234375,1290,0.0053398525,1.1920928955078125e-07,-0.0029459983816195745,0.2
268288,26,10283,35617.15636586,336.0,131,0.05087890625,0.0003,1498318.0,-2.8677974261343477,0.6506578922271729,3803097.37109375,1300,0.0062361797,0.0,-0.005704450023768004,0.2
270336,26,10386,35637.25217656,336.0,132,0.047412109375,0.0003,1690855.5,-2.858263444900513,0.6457502245903015,3247120.48046875,1310,0.0057680695,5.960464477539063e-08,-0.004609175087534822,0.2
272384,25,10490,35909.08516462,336.0,133,0.04794921875,0.0003,1453520.625,-2.8426152504980564,0.6441612839698792,3197256.321484375,1320,0.005932439,0.0,-0.005620732203533407,0.2
274432,25,10593,36152.49560824,336.0,134,0.0708984375,0.0003,1648467.625,-2.8313209131360053,0.6409631371498108,3615641.0484375,1330,0.006911817,-1.1920928955078125e-07,-0.007054710758529837,0.2
276480,25,10695,35961.54898831,336.0,135,0.026953125,0.0003,1602242.625,-2.82278783172369,0.6411346197128296,3214989.54453125,1340,0.005138141,-1.1920928955078125e-07,-0.002402950088435318,0.2
278528,25,10798,35514.37642094999,336.0,136,0.042529296875,0.0003,1711557.0,-2.8167909651994707,0.6396113038063049,3759959.8453125,1350,0.0062701507,0.0,-0.004536395582545083,0.2
280576,25,10901,35506.55168969,336.0,137,0.070458984375,0.0003,1392810.5,-2.817371053993702,0.6416399478912354,2879122.278515625,1360,0.0073084207,0.0,-0.009366841573501006,0.2
